group	fill	y	tooltip	ymin	ymax	colour
1	#FFC1AC	-8	0.324897212918077	-8.5	-7.5	#FFC1AC
2	#FFDFD4	-18	0.167534705867672	-18.5	-17.5	#FFDFD4
3	#FFCFBF	-13	0.250169670836726	-13.5	-12.5	#FFCFBF
4	#FFD5C7	-15	0.218357326138573	-15.5	-14.5	#FFD5C7
5	#FFBBA5	-4	0.352002542558835	-4.5	-3.5	#FFBBA5
6	#FFBEA9	-6	0.337078564578182	-6.5	-5.5	#FFBEA9
7	#FFBFAA	-7	0.333954330109027	-7.5	-6.5	#FFBFAA
8	#FFDDD1	-17	0.17752114240831	-17.5	-16.5	#FFDDD1
9	#FFB299	-3	0.40047133868294	-3.5	-2.5	#FFB299
10	#FFCAB8	-10	0.276444269950665	-10.5	-9.5	#FFCAB8
11	#FFE1D6	-19	0.159119289213558	-19.5	-18.5	#FFE1D6
12	#FF0000	-1	1	-1.5	-0.5	#FF0000
13	#FFC7B5	-9	0.289826780254365	-9.5	-8.5	#FFC7B5
14	#FFCBBA	-11	0.269319317347633	-11.5	-10.5	#FFCBBA
15	#FFD6C8	-16	0.21401235800266	-16.5	-15.5	#FFD6C8
16	#FFBDA8	-5	0.342842876310744	-5.5	-4.5	#FFBDA8
17	#FFCBBA	-12	0.269298659304246	-12.5	-11.5	#FFCBBA
18	#FFAD94	-2	0.42420209230458	-2.5	-1.5	#FFAD94
19	#FFD4C5	-14	0.224463680134317	-14.5	-13.5	#FFD4C5
