group	fill	y	tooltip	ymin	ymax	colour
1	#FFB8A1	-6	0.37063600089516	-6.5	-5.5	#FFB8A1
2	#FFD9CC	-19	0.198261940082982	-19.5	-18.5	#FFD9CC
3	#FFD3C4	-15	0.230216480979067	-15.5	-14.5	#FFD3C4
4	#FFD4C6	-16	0.222425509195926	-16.5	-15.5	#FFD4C6
5	#FF0000	-1	1	-1.5	-0.5	#FF0000
6	#FFC3AF	-8	0.314188958809704	-8.5	-7.5	#FFC3AF
7	#FFAD93	-2	0.426898550100916	-2.5	-1.5	#FFAD93
8	#FFD1C1	-14	0.238945661656369	-14.5	-13.5	#FFD1C1
9	#FFB49C	-4	0.388562852202935	-4.5	-3.5	#FFB49C
10	#FFC8B5	-10	0.287590248230166	-10.5	-9.5	#FFC8B5
11	#FFD0BF	-13	0.247941826006861	-13.5	-12.5	#FFD0BF
12	#FFBBA5	-7	0.352002542558835	-7.5	-6.5	#FFBBA5
13	#FFC7B4	-9	0.291971046776422	-9.5	-8.5	#FFC7B4
14	#FFD8CA	-18	0.204304258368185	-18.5	-17.5	#FFD8CA
15	#FFD6C7	-17	0.215967987585296	-17.5	-16.5	#FFD6C7
16	#FFB69E	-5	0.380189131754752	-5.5	-4.5	#FFB69E
17	#FFCCBB	-11	0.264981866317592	-11.5	-10.5	#FFCCBB
18	#FFB39B	-3	0.395601362208105	-3.5	-2.5	#FFB39B
19	#FFCDBB	-12	0.262824037758337	-12.5	-11.5	#FFCDBB
