group	fill	y	tooltip	ymin	ymax	colour
1	#FFAC93	-2	0.428575131078385	-2.5	-1.5	#FFAC93
2	#FFDFD3	-18	0.168174887327998	-18.5	-17.5	#FFDFD3
3	#FFBAA4	-8	0.356661503874277	-8.5	-7.5	#FFBAA4
4	#FFC0AB	-11	0.32807273658388	-11.5	-10.5	#FFC0AB
5	#FFD8CA	-16	0.204304258368185	-16.5	-15.5	#FFD8CA
6	#FFECE5	-19	0.0987823762444857	-19.5	-18.5	#FFECE5
7	#FFB59D	-6	0.383664984479915	-6.5	-5.5	#FFB59D
8	#FFCDBC	-15	0.259544666959038	-15.5	-14.5	#FFCDBC
9	#FFB69E	-7	0.380335004150811	-7.5	-6.5	#FFB69E
10	#FFB29A	-5	0.398286331588968	-5.5	-4.5	#FFB29A
11	#FFBCA6	-9	0.348234196939126	-9.5	-8.5	#FFBCA6
12	#FFCBBA	-14	0.269319317347633	-14.5	-13.5	#FFCBBA
13	#FFC4B0	-12	0.309378644829644	-12.5	-11.5	#FFC4B0
14	#FF0000	-1	1	-1.5	-0.5	#FF0000
15	#FFDFD3	-17	0.168972486640601	-17.5	-16.5	#FFDFD3
16	#FFBCA7	-10	0.346845180906362	-10.5	-9.5	#FFBCA7
17	#FFB198	-4	0.405793732093914	-4.5	-3.5	#FFB198
18	#FFAD93	-3	0.427207782680756	-3.5	-2.5	#FFAD93
19	#FFC8B5	-13	0.288985056137781	-13.5	-12.5	#FFC8B5
