group	fill	y	tooltip	ymin	ymax	colour
1	#FFA287	-12	0.477626553613958	-12.5	-11.5	#FFA287
2	#FFCAB8	-16	0.276905318948109	-16.5	-15.5	#FFCAB8
3	#FFA083	-11	0.491882048846075	-11.5	-10.5	#FFA083
4	#FF0000	-1	1	-1.5	-0.5	#FF0000
5	#FFD4C6	-17	0.222425509195926	-17.5	-16.5	#FFD4C6
6	#FFF2EE	-19	0.065689399351367	-19.5	-18.5	#FFF2EE
7	#FFA98F	-13	0.444002392724002	-13.5	-12.5	#FFA98F
8	#FF8665	-4	0.616974532183001	-4.5	-3.5	#FF8665
9	#FFAF96	-14	0.414398351861606	-14.5	-13.5	#FFAF96
10	#FF8969	-5	0.601372695307514	-5.5	-4.5	#FF8969
11	#FF896A	-6	0.599525205667803	-6.5	-5.5	#FF896A
12	#FFD5C7	-18	0.218357326138573	-18.5	-17.5	#FFD5C7
13	#FF9273	-7	0.558383261815881	-7.5	-6.5	#FF9273
14	#FFC0AB	-15	0.32807273658388	-15.5	-14.5	#FFC0AB
15	#FF9577	-8	0.544160733984543	-8.5	-7.5	#FF9577
16	#FF9A7D	-10	0.518571173942665	-10.5	-9.5	#FF9A7D
17	#FF7452	-2	0.69891403848331	-2.5	-1.5	#FF7452
18	#FF7958	-3	0.675553909060131	-3.5	-2.5	#FF7958
19	#FF9678	-9	0.536640743741596	-9.5	-8.5	#FF9678
