group	fill	y	tooltip	ymin	ymax	colour
1	#FF9679	-9	0.536508602329449	-9.5	-8.5	#FF9679
2	#FFC8B6	-18	0.285550260751397	-18.5	-17.5	#FFC8B6
3	#FFAB92	-14	0.432607699906706	-14.5	-13.5	#FFAB92
4	#FF9273	-6	0.558383261815881	-6.5	-5.5	#FF9273
5	#FFC7B4	-16	0.291971046776422	-16.5	-15.5	#FFC7B4
6	#FFEEE8	-19	0.0877695811524353	-19.5	-18.5	#FFEEE8
7	#FF9273	-5	0.559571464397655	-5.5	-4.5	#FF9273
8	#FF9A7C	-12	0.521276008598311	-12.5	-11.5	#FF9A7C
9	#FF9678	-8	0.540618515599011	-8.5	-7.5	#FF9678
10	#FF8E6E	-4	0.579009677224461	-4.5	-3.5	#FF8E6E
11	#FF9374	-7	0.553493128586908	-7.5	-6.5	#FF9374
12	#FFC7B5	-17	0.289826780254365	-17.5	-16.5	#FFC7B5
13	#FF0000	-1	1	-1.5	-0.5	#FF0000
14	#FFC4B0	-15	0.309378644829644	-15.5	-14.5	#FFC4B0
15	#FF987A	-10	0.528577094217741	-10.5	-9.5	#FF987A
16	#FF997B	-11	0.52632571209368	-11.5	-10.5	#FF997B
17	#FF805F	-3	0.644689824016138	-3.5	-2.5	#FF805F
18	#FF7857	-2	0.677288152710951	-2.5	-1.5	#FF7857
19	#FF9C80	-13	0.507127708808683	-13.5	-12.5	#FF9C80
