group	fill	y	tooltip	ymin	ymax	colour
1	#FF9F83	-10	0.49440554261351	-10.5	-9.5	#FF9F83
2	#FFDACD	-17	0.195095221329917	-17.5	-16.5	#FFDACD
3	#FFA489	-11	0.467798452244996	-11.5	-10.5	#FFA489
4	#FF8665	-4	0.616974532183001	-4.5	-3.5	#FF8665
5	#FFD1C1	-16	0.238945661656369	-16.5	-15.5	#FFD1C1
6	#FFF1EB	-19	0.076081167661547	-19.5	-18.5	#FFF1EB
7	#FFAD93	-13	0.426060974830767	-13.5	-12.5	#FFAD93
8	#FF0000	-1	1	-1.5	-0.5	#FF0000
9	#FFB29A	-14	0.398268313894256	-14.5	-13.5	#FFB29A
10	#FF9172	-6	0.56469369841838	-6.5	-5.5	#FF9172
11	#FF9071	-5	0.566407525914717	-5.5	-4.5	#FF9071
12	#FFDDD1	-18	0.17752114240831	-18.5	-17.5	#FFDDD1
13	#FF9A7C	-8	0.521276008598311	-8.5	-7.5	#FF9A7C
14	#FFCDBC	-15	0.259544666959038	-15.5	-14.5	#FFCDBC
15	#FFAA90	-12	0.440315051650756	-12.5	-11.5	#FFAA90
16	#FF9E81	-9	0.499229270938786	-9.5	-8.5	#FF9E81
17	#FF7D5C	-2	0.658563146821866	-2.5	-1.5	#FF7D5C
18	#FF8161	-3	0.635983212146255	-3.5	-2.5	#FF8161
19	#FF9779	-7	0.53440666602507	-7.5	-6.5	#FF9779
