group	fill	y	tooltip	ymin	ymax	colour
1	#FFAC92	-12	0.431896640734161	-12.5	-11.5	#FFAC92
2	#FFD0C0	-18	0.244798515070712	-18.5	-17.5	#FFD0C0
3	#FFA78C	-8	0.454708921555219	-8.5	-7.5	#FFA78C
4	#FFA98F	-10	0.444002392724002	-10.5	-9.5	#FFA98F
5	#FFAD93	-13	0.426898550100916	-13.5	-12.5	#FFAD93
6	#FFE2D8	-19	0.150055376909504	-19.5	-18.5	#FFE2D8
7	#FF0000	-1	1	-1.5	-0.5	#FF0000
8	#FFAD93	-14	0.426060974830767	-14.5	-13.5	#FFAD93
9	#FF8160	-3	0.637891829042081	-3.5	-2.5	#FF8160
10	#FF987A	-5	0.531290707249586	-5.5	-4.5	#FF987A
11	#FFC0AB	-17	0.328593218997191	-17.5	-16.5	#FFC0AB
12	#FFBFAA	-16	0.333954330109027	-16.5	-15.5	#FFBFAA
13	#FF9273	-4	0.559571464397655	-4.5	-3.5	#FF9273
14	#FFB59D	-15	0.383664984479915	-15.5	-14.5	#FFB59D
15	#FFAB91	-11	0.433071029241853	-11.5	-10.5	#FFAB91
16	#FFA98F	-9	0.444673452126606	-9.5	-8.5	#FFA98F
17	#FFA388	-6	0.473929560540418	-6.5	-5.5	#FFA388
18	#FF8060	-2	0.641049939547203	-2.5	-1.5	#FF8060
19	#FFA58A	-7	0.46423931914266	-7.5	-6.5	#FFA58A
