group	fill	y	tooltip	ymin	ymax	colour
1	#FFA084	-10	0.48829363861737	-10.5	-9.5	#FFA084
2	#FFC1AC	-15	0.323490808177683	-15.5	-14.5	#FFC1AC
3	#FFA286	-11	0.481968677151547	-11.5	-10.5	#FFA286
4	#FF9577	-7	0.544160733984543	-7.5	-6.5	#FF9577
5	#FFD6C7	-16	0.215967987585296	-16.5	-15.5	#FFD6C7
6	#FFECE5	-19	0.0999556766069937	-19.5	-18.5	#FFECE5
7	#FFAB91	-14	0.433071029241853	-14.5	-13.5	#FFAB91
8	#FFAA90	-12	0.440315051650756	-12.5	-11.5	#FFAA90
9	#FFAB91	-13	0.433984494187783	-13.5	-12.5	#FFAB91
10	#FF9071	-6	0.567105122375926	-6.5	-5.5	#FF9071
11	#FF8F6F	-5	0.574634380482613	-5.5	-4.5	#FF8F6F
12	#FFD6C8	-17	0.21401235800266	-17.5	-16.5	#FFD6C8
13	#FF987A	-9	0.528577094217741	-9.5	-8.5	#FF987A
14	#FFDFD3	-18	0.168972486640601	-18.5	-17.5	#FFDFD3
15	#FF0000	-1	1	-1.5	-0.5	#FF0000
16	#FF8969	-4	0.600585823052313	-4.5	-3.5	#FF8969
17	#FF714F	-2	0.711623977626989	-2.5	-1.5	#FF714F
18	#FF7553	-3	0.694481875549214	-3.5	-2.5	#FF7553
19	#FF9678	-8	0.538985913172683	-8.5	-7.5	#FF9678
