group	x	y
1	2.03555578073487	3.96000992635265
2	1.96841650523245	4.00817008355632
3	2.01931392429397	4.03440482914448
4	2.02539898674935	3.98943548562005
5	2.98702990887687	3.96909906506538
6	4.02498809451237	4.00718498839065
7	2.0280594471097	3.9645786979422
8	1.01649780018255	4.00696482550353
9	0.967160287778825	4.03759639078751
10	1.01741703642532	4.01508591545746
11	0.995192096233368	3.96005086569116
12	4.00768492309377	3.98113590298221
13	3.99071958664805	4.02538739228621
14	4.0136631554924	2.03105610478669
15	4.02968129403889	1.97142924100161
16	4.02325664352626	2.0153122263588
17	4.00826593386009	1.98311658473685
18	1.97842400783673	2.0167809362337
19	2.035160977263	4.02939763370901
20	2.99209713088349	3.96451560780406
21	2.99838687648997	3.98478155832738
22	2.99255525775254	4.00664977835491
23	3.0275965936482	4.00281876502559
24	2.01634845918044	3.98680133182555
25	1.98651135096326	3.990046847146
26	2.00855615949258	3.9692629702948
27	1.97642995867878	3.98119643963873
28	1.98578353188932	3.9967490432784
29	0.979009490106255	3.99963463049382
30	4.0155879772082	3.96987327866256
31	4.00512109469622	4.02328338548541
32	3.97988655669615	4.01528827520087
33	4.00830558426678	4.03130316708237
34	2.02951675815508	4.01605194790289
35	4.00077931264415	3.98368228686973
36	3.98134092546999	3.99733738418669
37	3.99851638793945	4.01421159232035
38	4.03574555123225	3.96588320860639
39	3.97686824286357	1.9996649155952
40	1.98229295823723	2.99745667384937
41	1.96841970315203	3.01588164899498
42	1.96615355294198	3.01669397367164
43	1.99157102834433	3.01890019189566
44	1.9721748236008	3.9666435430944
45	1.0260290113464	3.03443089537323
46	1.00359339226037	2.9945287248306
47	0.968940939176828	2.97839623723179
48	0.979823310375214	2.96877431675792
49	3.9727493692562	3.98698133325204
50	2.00081117076799	3.97855656752363
51	3.96774917965755	3.96788396187127
52	3.97160623695701	3.98907116435468
53	3.98948379943147	4.03319866083562
54	4.03609343465418	3.963520366624
55	3.98596484160051	3.99878079347312
56	3.97991740407422	4.01981799816713
57	3.99177371188998	4.0293513648212
58	4.03366505950689	4.03813936056569
59	3.02391131512821	3.97637345466763
60	2.98096283558756	4.02539079397917
61	3.01399559533224	3.96332311080769
62	3.00072721537203	3.9939346851036
63	3.02271995685995	3.98985994612798
64	3.03639537805691	3.99607467643917
65	2.98669666951522	4.01976293114945
66	3.00875967634842	3.97224081357941
67	2.96980851758271	4.02491650942713
68	4.02008316803724	3.96239629253745
69	4.03913832060993	4.02522924231365
70	3.9886790520139	4.0284480217658
71	4.03788556499407	4.01713785454631
72	2.97796558715403	2.97275638058782
73	2.97416120111942	2.98251366790384
74	3.0258596277982	2.99161392662674
75	2.96647849624977	3.02357197556645
76	3.00296602863818	3.0094606429711
77	3.0292825108394	3.0153130579181
78	2.9859823246859	2.96029899554327
79	3.03140540014952	2.99367701334879
80	4.00836174767464	4.02445789795369
81	2.01224994972348	4.0399675947614
82	4.01038458032534	3.96334953546524
83	3.99208009768277	3.98295660862699
84	4.01989227650687	3.98412322202697
85	4.03546583618969	4.00678848998621
86	3.96292258553207	3.98468212312087
87	2.00022149475291	4.01636401582509
88	2.03333750400692	3.99972613688558
89	2.01018290475011	4.02322456095368
90	2.02830578554422	3.966752519086
91	4.02905174532905	4.03099159965292
92	3.96292241679504	3.96084046760574
93	4.01704835655168	3.99301376087591
94	4.03632236976177	3.98921167578548
95	3.98176694488153	4.02068685783073
96	3.99653411645442	4.02606202797964
97	4.01841027740389	3.99249923942611
98	3.98351495055482	4.02511085350066
99	4.02062170198187	3.98213889630511
100	4.0330279754661	4.00729144427925
101	4.01143054848537	3.97835771217942
102	4.01087535357103	3.99480410348624
103	4.00031808845699	4.02093074221164
104	1.00352890733629	1.9913981535472
105	0.972630895096809	2.00672224836424
106	1.01003640979528	1.96262166585773
107	1.02099194522947	2.01787614451721
108	2.9681608851999	4.00740108584985
109	3.97471768461168	4.02996123282239
110	1.96140631787479	4.01608196815476
111	1.97452354056761	1.99563010439277
112	4.00224961483851	4.00719677688554
113	3.9709834356606	4.01104920305312
114	4.01478738309816	3.99515068078414
115	4.02341870747507	3.99682223999873
116	4.02352637642995	4.0044881176576
117	4.02562260879204	4.00032566500828
118	3.9967865575105	3.98425483409315
119	4.00843303443864	4.01050305858254
120	2.98325490549207	3.96813754340634
121	2.97580034270883	4.00747191460803
122	3.97345211448148	2.98322670845315
123	4.00084546996281	4.01928760301322
124	4.02862344641238	4.02282167913392
125	3.97589993160218	3.97293129578233
126	4.00639072261751	4.03406547363848
127	3.96255760971457	4.01196729127318
128	3.99535814283416	4.03795292571187
129	4.01202224781737	3.9997916662693
130	3.96583672111854	4.01655368570238
131	3.97451065912843	4.00357470756397
