x	y	tooltip	PANEL
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
-0.00273934804823576	1	-0.00273934804823576	2
0.00227913505832777	2	0.00227913505832777	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0.0129701165049882	1	0.0129701165049882	3
0.0159589459369357	1	0.0159589459369357	3
0.0167281619253172	1	0.0167281619253172	3
0.00844849204907725	1	0.00844849204907725	3
0.0120675647974923	1	0.0120675647974923	3
0.0112241056848512	1	0.0112241056848512	3
0.0214468043309242	1	0.0214468043309242	3
0	1	0	3
0.0138205027612785	1	0.0138205027612785	3
0.0171019225542675	1	0.0171019225542675	3
0.0217160001282476	1	0.0217160001282476	4
0.0265349490925059	2	0.0265349490925059	4
-0.0152663862809346	3	-0.0152663862809346	4
0.0263670485514152	1	0.0263670485514152	4
0.0300206168823845	2	0.0300206168823845	4
-0.0139672957655542	3	-0.0139672957655542	4
0.0219302524215351	1	0.0219302524215351	4
0.0265621545451707	2	0.0265621545451707	4
-0.0192371041665413	3	-0.0192371041665413	4
0.0222981001499557	1	0.0222981001499557	4
0.0323992638051669	2	0.0323992638051669	4
-0.00906439524075562	3	-0.00906439524075562	4
0.0223190715575625	1	0.0223190715575625	4
0.0289492723434697	2	0.0289492723434697	4
-0.0100709440877062	3	-0.0100709440877062	4
0.0234880367656988	1	0.0234880367656988	4
0.0262710543845654	2	0.0262710543845654	4
-0.00840557813145632	3	-0.00840557813145632	4
0.0116500094541904	1	0.0116500094541904	4
0.0334694991857858	2	0.0334694991857858	4
-0.011635439283652	3	-0.011635439283652	4
0.0170061180387652	1	0.0170061180387652	4
0.0164214909968759	2	0.0164214909968759	4
-0.0085950601659481	3	-0.0085950601659481	4
0.0248211714178714	1	0.0248211714178714	4
0.0247883149122383	2	0.0247883149122383	4
-0.0107212995525535	3	-0.0107212995525535	4
0.0209287787604727	1	0.0209287787604727	4
0.0251379250803227	2	0.0251379250803227	4
-0.00956153096201814	3	-0.00956153096201814	4
