group	fill	y	tooltip	ymin	ymax	colour
1	#FF9374	-8	0.555551223025923	-8.5	-7.5	#FF9374
2	#FFC6B3	-16	0.296638320449483	-16.5	-15.5	#FFC6B3
3	#FFA286	-11	0.481039649936568	-11.5	-10.5	#FFA286
4	#FF896A	-4	0.599525205667803	-4.5	-3.5	#FF896A
5	#FFD0BF	-17	0.247941826006861	-17.5	-16.5	#FFD0BF
6	#FFF5F2	-19	0.0510852961432106	-19.5	-18.5	#FFF5F2
7	#FFC0AB	-15	0.328593218997191	-15.5	-14.5	#FFC0AB
8	#FF9071	-7	0.566407525914717	-7.5	-6.5	#FF9071
9	#FFB8A1	-13	0.369066710713805	-13.5	-12.5	#FFB8A1
10	#FF8F70	-6	0.572460429919268	-6.5	-5.5	#FF8F70
11	#FF0000	-1	1	-1.5	-0.5	#FF0000
12	#FFE1D6	-18	0.159119289213558	-18.5	-17.5	#FFE1D6
13	#FF9374	-9	0.553493128586908	-9.5	-8.5	#FF9374
14	#FFBCA6	-14	0.348234196939126	-14.5	-13.5	#FFBCA6
15	#FF8F6F	-5	0.574634380482613	-5.5	-4.5	#FF8F6F
16	#FF9678	-10	0.537290978148908	-10.5	-9.5	#FF9678
17	#FF7C5B	-2	0.659972065988447	-2.5	-1.5	#FF7C5B
18	#FF8767	-3	0.611386570890257	-3.5	-2.5	#FF8767
19	#FFAF96	-12	0.414242339623288	-12.5	-11.5	#FFAF96
