group	fill	y	tooltip	ymin	ymax	colour
1	#FF7654	-7	0.689465621980257	-7.5	-6.5	#FF7654
2	#FFA88D	-15	0.451263638931702	-15.5	-14.5	#FFA88D
3	#FF8262	-13	0.63281515202809	-13.5	-12.5	#FF8262
4	#FF7958	-9	0.675553909060131	-9.5	-8.5	#FF7958
5	#FFB39B	-18	0.395601362208105	-18.5	-17.5	#FFB39B
6	#FFE3D8	-19	0.149109306443028	-19.5	-18.5	#FFE3D8
7	#FF8060	-11	0.641049939547203	-11.5	-10.5	#FF8060
8	#FF8161	-12	0.635983212146255	-12.5	-11.5	#FF8161
9	#FF7C5B	-10	0.663327818106001	-10.5	-9.5	#FF7C5B
10	#FF6E4D	-3	0.721809092032277	-3.5	-2.5	#FF6E4D
11	#FF8767	-14	0.611386570890257	-14.5	-13.5	#FF8767
12	#FFAD94	-17	0.42420209230458	-17.5	-16.5	#FFAD94
13	#FF7857	-8	0.677288152710951	-8.5	-7.5	#FF7857
14	#FFAD93	-16	0.427207782680756	-16.5	-15.5	#FFAD93
15	#FF7553	-6	0.694481875549214	-6.5	-5.5	#FF7553
16	#FF7150	-4	0.708448604181814	-4.5	-3.5	#FF7150
17	#FF2F17	-2	0.938837462308852	-2.5	-1.5	#FF2F17
18	#FF0000	-1	1	-1.5	-0.5	#FF0000
19	#FF7351	-5	0.702542019403583	-5.5	-4.5	#FF7351
