group	fill	y	tooltip	ymin	ymax	colour
1	#FF0000	-1	1	-1.5	-0.5	#FF0000
2	#FFBCA6	-17	0.350534434593958	-17.5	-16.5	#FFBCA6
3	#FFB199	-15	0.403327171434235	-15.5	-14.5	#FFB199
4	#FFA287	-11	0.477626553613958	-11.5	-10.5	#FFA287
5	#FFB8A1	-16	0.37063600089516	-16.5	-15.5	#FFB8A1
6	#FFF1EC	-19	0.0726287676748361	-19.5	-18.5	#FFF1EC
7	#FFAC92	-13	0.431896640734161	-13.5	-12.5	#FFAC92
8	#FF9F83	-9	0.49440554261351	-9.5	-8.5	#FF9F83
9	#FF9779	-7	0.534564509837872	-7.5	-6.5	#FF9779
10	#FF9B7E	-8	0.513997771684288	-8.5	-7.5	#FF9B7E
11	#FF9374	-5	0.555551223025923	-5.5	-4.5	#FF9374
12	#FFC1AC	-18	0.324897212918077	-18.5	-17.5	#FFC1AC
13	#FF9679	-6	0.536508602329449	-6.5	-5.5	#FF9679
14	#FFAC93	-14	0.428575131078385	-14.5	-13.5	#FFAC93
15	#FFA084	-10	0.48829363861737	-10.5	-9.5	#FFA084
16	#FF7F5E	-4	0.646594050784722	-4.5	-3.5	#FF7F5E
17	#FF7150	-2	0.708043444387868	-2.5	-1.5	#FF7150
18	#FF7654	-3	0.689465621980257	-3.5	-2.5	#FF7654
19	#FFA78C	-12	0.453613365075094	-12.5	-11.5	#FFA78C
