group	fill	y	tooltip	ymin	ymax	colour
1	#FF7F5E	-4	0.646594050784722	-4.5	-3.5	#FF7F5E
2	#FFBAA3	-16	0.36066342750557	-16.5	-15.5	#FFBAA3
3	#FFAD94	-14	0.423555848173312	-14.5	-13.5	#FFAD94
4	#FF9A7D	-10	0.518571173942665	-10.5	-9.5	#FF9A7D
5	#FFB69E	-15	0.380189131754752	-15.5	-14.5	#FFB69E
6	#FFEDE6	-19	0.0942718428142501	-19.5	-18.5	#FFEDE6
7	#FFA98F	-13	0.444673452126606	-13.5	-12.5	#FFA98F
8	#FF9E81	-11	0.499229270938786	-11.5	-10.5	#FF9E81
9	#FF9779	-8	0.532736571597973	-8.5	-7.5	#FF9779
10	#FF9374	-6	0.554534015450537	-6.5	-5.5	#FF9374
11	#FF9678	-7	0.537290978148908	-7.5	-6.5	#FF9678
12	#FFBDA8	-18	0.342842876310744	-18.5	-17.5	#FFBDA8
13	#FF997B	-9	0.52632571209368	-9.5	-8.5	#FF997B
14	#FFBCA7	-17	0.346845180906362	-17.5	-16.5	#FFBCA7
15	#FF8969	-5	0.600585823052313	-5.5	-4.5	#FF8969
16	#FF0000	-1	1	-1.5	-0.5	#FF0000
17	#FF7250	-3	0.706857754732344	-3.5	-2.5	#FF7250
18	#FF7150	-2	0.708448604181814	-2.5	-1.5	#FF7150
19	#FFA286	-12	0.480222419192061	-12.5	-11.5	#FFA286
