x	y	tooltip	PANEL
0	1	mean = 0	1
0	2	mean = 0	1
0	3	mean = 0	1
0	4	mean = 0	1
0	5	mean = 0	1
0	6	mean = 0	1
0	7	mean = 0	1
0	8	mean = 0	1
0.000677817567431866	1	mean = 0.000677817567431866	2
0.00112182571234653	2	mean = 0.00112182571234653	2
0.000962540913060724	1	mean = 0.000962540913060724	3
-0.000782511422361706	2	mean = -0.000782511422361706	3
0.00190130142685318	1	mean = 0.00190130142685318	4
0.0017539358910824	1	mean = 0.0017539358910824	5
0.00528931445119001	2	mean = 0.00528931445119001	5
0.0160152172006605	1	mean = 0.0160152172006605	6
-0.00525665205369278	2	mean = -0.00525665205369278	6
0.0205574175845182	1	mean = 0.0205574175845182	7
0.0142930896250152	2	mean = 0.0142930896250152	7
