group	fill	y	tooltip	ymin	ymax	colour
1	#FFA78C	-12	0.453613365075094	-12.5	-11.5	#FFA78C
2	#FFD0C0	-17	0.245355759940124	-17.5	-16.5	#FFD0C0
3	#FFB49C	-14	0.390345592979366	-14.5	-13.5	#FFB49C
4	#FF9678	-6	0.536640743741596	-6.5	-5.5	#FF9678
5	#FFCDBB	-16	0.262824037758337	-16.5	-15.5	#FFCDBB
6	#FFECE5	-19	0.0998484010835171	-19.5	-18.5	#FFECE5
7	#FFA58A	-11	0.46423931914266	-11.5	-10.5	#FFA58A
8	#FF9779	-7	0.53440666602507	-7.5	-6.5	#FF9779
9	#FF8F70	-4	0.573084157844596	-4.5	-3.5	#FF8F70
10	#FF9F83	-9	0.493649673968765	-9.5	-8.5	#FF9F83
11	#FFAF96	-13	0.414242339623288	-13.5	-12.5	#FFAF96
12	#FFD4C5	-18	0.224463680134317	-18.5	-17.5	#FFD4C5
13	#FF9C80	-8	0.507127708808683	-8.5	-7.5	#FF9C80
14	#FFC8B5	-15	0.288985056137781	-15.5	-14.5	#FFC8B5
15	#FF9678	-5	0.538985913172683	-5.5	-4.5	#FF9678
16	#FFA286	-10	0.480222419192061	-10.5	-9.5	#FFA286
17	#FF7857	-3	0.677985569760587	-3.5	-2.5	#FF7857
18	#FF7351	-2	0.702542019403583	-2.5	-1.5	#FF7351
19	#FF0000	-1	1	-1.5	-0.5	#FF0000
