group	y	label
1	16	Suburb..Large
2	16	Suburb..Large
3	16	Suburb..Large
4	16	Suburb..Large
5	16	Suburb..Large
6	16	Suburb..Large
7	16	Suburb..Large
8	16	Suburb..Large
9	16	Suburb..Large
10	16	Suburb..Large
11	16	Suburb..Large
12	16	Suburb..Large
13	16	Suburb..Large
14	16	Suburb..Large
15	16	Suburb..Large
16	16	Suburb..Large
17	16	Suburb..Large
18	16	Suburb..Large
19	16	Suburb..Large
20	16	Suburb..Large
21	16	Suburb..Large
22	16	Suburb..Large
23	16	Suburb..Large
24	16	Suburb..Large
25	16	Suburb..Large
26	16	Suburb..Large
27	16	Suburb..Large
28	16	Suburb..Large
29	16	Suburb..Large
30	16	Suburb..Large
31	16	Suburb..Large
32	16	Suburb..Large
33	16	Suburb..Large
34	16	Suburb..Large
35	16	Suburb..Large
36	16	Suburb..Large
37	16	Suburb..Large
38	16	Suburb..Large
39	16	Suburb..Large
40	16	Suburb..Large
41	16	Suburb..Large
42	16	Suburb..Large
43	16	Suburb..Large
44	16	Suburb..Large
45	16	Suburb..Large
46	16	Suburb..Large
47	16	Suburb..Large
48	16	Suburb..Large
49	16	Suburb..Large
50	16	Suburb..Large
