group	y
1	0.0836909871244635
2	0.0836909871244635
3	0.0836909871244635
4	0.0836909871244635
5	0.0836909871244635
6	0.0836909871244635
7	0.0836909871244635
8	0.0836909871244635
9	0.0836909871244635
10	0.0836909871244635
11	0.0836909871244635
12	0.0836909871244635
13	0.0836909871244635
14	0.0836909871244635
15	0.0836909871244635
16	0.0836909871244635
17	0.0836909871244635
18	0.0836909871244635
19	0.0836909871244635
20	0.0836909871244635
21	0.0836909871244635
22	0.0836909871244635
23	0.0836909871244635
24	0.0836909871244635
25	0.0836909871244635
26	0.0836909871244635
27	0.0836909871244635
28	0.0836909871244635
29	0.0836909871244635
30	0.0836909871244635
31	0.0836909871244635
32	0.0836909871244635
33	0.0836909871244635
34	0.0836909871244635
35	0.0836909871244635
36	0.0836909871244635
37	0.0836909871244635
38	0.0836909871244635
39	0.0836909871244635
40	0.0836909871244635
41	0.0836909871244635
42	0.0836909871244635
43	0.0836909871244635
44	0.0836909871244635
45	0.0836909871244635
46	0.0836909871244635
47	0.0836909871244635
48	0.0836909871244635
49	0.0836909871244635
