group	y	label
1	0.544998739923302	Free.Reduced.Lunch.Rate.mean
2	0.544998739923302	Free.Reduced.Lunch.Rate.mean
3	0.544998739923302	Free.Reduced.Lunch.Rate.mean
4	0.544998739923302	Free.Reduced.Lunch.Rate.mean
5	0.544998739923302	Free.Reduced.Lunch.Rate.mean
6	0.544998739923302	Free.Reduced.Lunch.Rate.mean
7	0.544998739923302	Free.Reduced.Lunch.Rate.mean
8	0.544998739923302	Free.Reduced.Lunch.Rate.mean
9	0.544998739923302	Free.Reduced.Lunch.Rate.mean
10	0.544998739923302	Free.Reduced.Lunch.Rate.mean
11	0.544998739923302	Free.Reduced.Lunch.Rate.mean
12	0.544998739923302	Free.Reduced.Lunch.Rate.mean
13	0.544998739923302	Free.Reduced.Lunch.Rate.mean
14	0.544998739923302	Free.Reduced.Lunch.Rate.mean
15	0.544998739923302	Free.Reduced.Lunch.Rate.mean
16	0.544998739923302	Free.Reduced.Lunch.Rate.mean
17	0.544998739923302	Free.Reduced.Lunch.Rate.mean
18	0.544998739923302	Free.Reduced.Lunch.Rate.mean
19	0.544998739923302	Free.Reduced.Lunch.Rate.mean
20	0.544998739923302	Free.Reduced.Lunch.Rate.mean
21	0.544998739923302	Free.Reduced.Lunch.Rate.mean
22	0.544998739923302	Free.Reduced.Lunch.Rate.mean
23	0.544998739923302	Free.Reduced.Lunch.Rate.mean
24	0.544998739923302	Free.Reduced.Lunch.Rate.mean
25	0.544998739923302	Free.Reduced.Lunch.Rate.mean
26	0.544998739923302	Free.Reduced.Lunch.Rate.mean
27	0.544998739923302	Free.Reduced.Lunch.Rate.mean
28	0.544998739923302	Free.Reduced.Lunch.Rate.mean
29	0.544998739923302	Free.Reduced.Lunch.Rate.mean
30	0.544998739923302	Free.Reduced.Lunch.Rate.mean
31	0.544998739923302	Free.Reduced.Lunch.Rate.mean
32	0.544998739923302	Free.Reduced.Lunch.Rate.mean
33	0.544998739923302	Free.Reduced.Lunch.Rate.mean
34	0.544998739923302	Free.Reduced.Lunch.Rate.mean
35	0.544998739923302	Free.Reduced.Lunch.Rate.mean
36	0.544998739923302	Free.Reduced.Lunch.Rate.mean
37	0.544998739923302	Free.Reduced.Lunch.Rate.mean
38	0.544998739923302	Free.Reduced.Lunch.Rate.mean
39	0.544998739923302	Free.Reduced.Lunch.Rate.mean
40	0.544998739923302	Free.Reduced.Lunch.Rate.mean
41	0.544998739923302	Free.Reduced.Lunch.Rate.mean
42	0.544998739923302	Free.Reduced.Lunch.Rate.mean
43	0.544998739923302	Free.Reduced.Lunch.Rate.mean
44	0.544998739923302	Free.Reduced.Lunch.Rate.mean
45	0.544998739923302	Free.Reduced.Lunch.Rate.mean
46	0.544998739923302	Free.Reduced.Lunch.Rate.mean
47	0.544998739923302	Free.Reduced.Lunch.Rate.mean
48	0.544998739923302	Free.Reduced.Lunch.Rate.mean
49	0.544998739923302	Free.Reduced.Lunch.Rate.mean
50	0.544998739923302	Free.Reduced.Lunch.Rate.mean
