group	y	label
1	2.5	Align.implementation.goals.with.CSIP..Comprehen...
2	2.5	Align.implementation.goals.with.CSIP..Comprehen...
3	2.5	Align.implementation.goals.with.CSIP..Comprehen...
4	2.5	Align.implementation.goals.with.CSIP..Comprehen...
5	2.5	Align.implementation.goals.with.CSIP..Comprehen...
6	2.5	Align.implementation.goals.with.CSIP..Comprehen...
7	2.5	Align.implementation.goals.with.CSIP..Comprehen...
8	2.5	Align.implementation.goals.with.CSIP..Comprehen...
9	2.5	Align.implementation.goals.with.CSIP..Comprehen...
10	2.5	Align.implementation.goals.with.CSIP..Comprehen...
11	2.5	Align.implementation.goals.with.CSIP..Comprehen...
12	2.5	Align.implementation.goals.with.CSIP..Comprehen...
13	2.5	Align.implementation.goals.with.CSIP..Comprehen...
14	2.5	Align.implementation.goals.with.CSIP..Comprehen...
15	2.5	Align.implementation.goals.with.CSIP..Comprehen...
16	2.5	Align.implementation.goals.with.CSIP..Comprehen...
17	2.5	Align.implementation.goals.with.CSIP..Comprehen...
18	2.5	Align.implementation.goals.with.CSIP..Comprehen...
19	2.5	Align.implementation.goals.with.CSIP..Comprehen...
20	2.5	Align.implementation.goals.with.CSIP..Comprehen...
21	2.5	Align.implementation.goals.with.CSIP..Comprehen...
22	2.5	Align.implementation.goals.with.CSIP..Comprehen...
23	2.5	Align.implementation.goals.with.CSIP..Comprehen...
24	2.5	Align.implementation.goals.with.CSIP..Comprehen...
25	2.5	Align.implementation.goals.with.CSIP..Comprehen...
26	2.5	Align.implementation.goals.with.CSIP..Comprehen...
27	2.5	Align.implementation.goals.with.CSIP..Comprehen...
28	2.5	Align.implementation.goals.with.CSIP..Comprehen...
29	2.5	Align.implementation.goals.with.CSIP..Comprehen...
30	2.5	Align.implementation.goals.with.CSIP..Comprehen...
31	2.5	Align.implementation.goals.with.CSIP..Comprehen...
32	2.5	Align.implementation.goals.with.CSIP..Comprehen...
33	2.5	Align.implementation.goals.with.CSIP..Comprehen...
34	2.5	Align.implementation.goals.with.CSIP..Comprehen...
35	2.5	Align.implementation.goals.with.CSIP..Comprehen...
36	2.5	Align.implementation.goals.with.CSIP..Comprehen...
37	2.5	Align.implementation.goals.with.CSIP..Comprehen...
38	2.5	Align.implementation.goals.with.CSIP..Comprehen...
39	2.5	Align.implementation.goals.with.CSIP..Comprehen...
40	2.5	Align.implementation.goals.with.CSIP..Comprehen...
41	2.5	Align.implementation.goals.with.CSIP..Comprehen...
42	2.5	Align.implementation.goals.with.CSIP..Comprehen...
43	2.5	Align.implementation.goals.with.CSIP..Comprehen...
44	2.5	Align.implementation.goals.with.CSIP..Comprehen...
45	2.5	Align.implementation.goals.with.CSIP..Comprehen...
46	2.5	Align.implementation.goals.with.CSIP..Comprehen...
47	2.5	Align.implementation.goals.with.CSIP..Comprehen...
48	2.5	Align.implementation.goals.with.CSIP..Comprehen...
49	2.5	Align.implementation.goals.with.CSIP..Comprehen...
50	2.5	Align.implementation.goals.with.CSIP..Comprehen...
