colour	x	xend	y	yend	tooltip	showSelected1	PANEL
#FFF2ED	-0.0302000769005074	0.210985323246747	2	2	0.0697072400729808	Designate.district.level.contact.person.	1
#FFE8E0	-0.0302000769005074	0.210985323246747	2	2	0.119936797832868	Administer.implementation.survey..e.g..Collabor...	1
#FFDCCF	-0.0302000769005074	0.210985323246747	2	2	0.185693392033226	Use.technology.to.increase.the.quality.and.time...	1
#FFD5C7	-0.0302000769005074	0.210985323246747	2	2	0.218608968926543	Participate.in.regional..cadre..and.state.event...	1
#FFE3D9	-0.0302000769005074	0.210985323246747	2	2	0.147536887875199	Annually..summarize.district.wide.fidelity.and....	1
#FFC1AC	-0.0302000769005074	0.210985323246747	2	2	0.323325914291492	Align.implementation.goals.with.CSIP..Comprehen...	1
#FFC6B3	-0.0302000769005074	0.210985323246747	2	2	0.295430010556084	CFA_avg	1
#FFD6C8	-0.0302000769005074	0.210985323246747	2	2	0.212324572491685	ETLP_avg	1
#FFCCBA	-0.0302000769005074	0.210985323246747	2	2	0.26893176055423	DBDM_avg	1
#FFECE6	-0.0302000769005074	0.210985323246747	2	2	0.0977357936254837	PD_avg	1
#FFE1D7	-0.0302000769005074	0.210985323246747	2	2	0.155197125564347	Leadership_avg	1
#FF6544	-0.0302000769005074	0.210985323246747	2	2	0.760759841531061	Total.Students..All.Grades..Excludes.AE...Public.School..mean	1
#FF0000	-0.0302000769005074	0.210985323246747	2	2	1	Total.Students..All.Grades..Excludes.AE...Public.School..sd	1
#FF7F5F	-0.0302000769005074	0.210985323246747	2	2	0.646043922902104	Total.Students..All.Grades..Excludes.AE...Public.School..median	1
#F3EAFF	-0.0302000769005074	0.210985323246747	2	2	-0.0881432722541948	Full.Time.Equivalent..FTE..Teachers..Public.School..min	1
#FF341B	-0.0302000769005074	0.210985323246747	2	2	0.925199971030254	Full.Time.Equivalent..FTE..Teachers..Public.School..max	1
#FF6C4B	-0.0302000769005074	0.210985323246747	2	2	0.731319958315632	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	1
#FF230F	-0.0302000769005074	0.210985323246747	2	2	0.961919308433712	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	1
#FF8565	-0.0302000769005074	0.210985323246747	2	2	0.618171670392487	Full.Time.Equivalent..FTE..Teachers..Public.School..median	1
#B790FF	-0.0302000769005074	0.210985323246747	2	2	-0.478609295399425	Pupil.Teacher.Ratio..Public.School..min	1
#FF8B6C	-0.0302000769005074	0.210985323246747	2	2	0.589537621885455	Pupil.Teacher.Ratio..Public.School..max	1
#FFAF96	-0.0302000769005074	0.210985323246747	2	2	0.412542168045513	Pupil.Teacher.Ratio..Public.School..mean	1
#FF9576	-0.0302000769005074	0.210985323246747	2	2	0.545611508041559	Pupil.Teacher.Ratio..Public.School..sd	1
#FF9374	-0.0302000769005074	0.210985323246747	2	2	0.554191445102599	Pupil.Teacher.Ratio..Public.School..median	1
#FF9678	-0.0302000769005074	0.210985323246747	2	2	0.538511797114356	Free.Lunch.Eligible.mean	1
#FF6544	-0.0302000769005074	0.210985323246747	2	2	0.759878632438226	Free.Lunch.Eligible.sd	1
#FFA489	-0.0302000769005074	0.210985323246747	2	2	0.468579408808804	Free.Lunch.Eligible.median	1
#FFE1D7	-0.0302000769005074	0.210985323246747	2	2	0.155503498629621	Reduced.Lunch.Eligible.min	1
#FFA084	-0.0302000769005074	0.210985323246747	2	2	0.490295460977154	Reduced.Lunch.Eligible.mean	1
