group	y	label
1	102.5	Reduced.Lunch.Eligible.min
2	102.5	Reduced.Lunch.Eligible.min
3	102.5	Reduced.Lunch.Eligible.min
4	102.5	Reduced.Lunch.Eligible.min
5	102.5	Reduced.Lunch.Eligible.min
6	102.5	Reduced.Lunch.Eligible.min
7	102.5	Reduced.Lunch.Eligible.min
8	102.5	Reduced.Lunch.Eligible.min
9	102.5	Reduced.Lunch.Eligible.min
10	102.5	Reduced.Lunch.Eligible.min
11	102.5	Reduced.Lunch.Eligible.min
12	102.5	Reduced.Lunch.Eligible.min
13	102.5	Reduced.Lunch.Eligible.min
14	102.5	Reduced.Lunch.Eligible.min
15	102.5	Reduced.Lunch.Eligible.min
16	102.5	Reduced.Lunch.Eligible.min
17	102.5	Reduced.Lunch.Eligible.min
18	102.5	Reduced.Lunch.Eligible.min
19	102.5	Reduced.Lunch.Eligible.min
20	102.5	Reduced.Lunch.Eligible.min
21	102.5	Reduced.Lunch.Eligible.min
22	102.5	Reduced.Lunch.Eligible.min
23	102.5	Reduced.Lunch.Eligible.min
24	102.5	Reduced.Lunch.Eligible.min
25	102.5	Reduced.Lunch.Eligible.min
26	102.5	Reduced.Lunch.Eligible.min
27	102.5	Reduced.Lunch.Eligible.min
28	102.5	Reduced.Lunch.Eligible.min
29	102.5	Reduced.Lunch.Eligible.min
30	102.5	Reduced.Lunch.Eligible.min
31	102.5	Reduced.Lunch.Eligible.min
32	102.5	Reduced.Lunch.Eligible.min
33	102.5	Reduced.Lunch.Eligible.min
34	102.5	Reduced.Lunch.Eligible.min
35	102.5	Reduced.Lunch.Eligible.min
36	102.5	Reduced.Lunch.Eligible.min
37	102.5	Reduced.Lunch.Eligible.min
38	102.5	Reduced.Lunch.Eligible.min
39	102.5	Reduced.Lunch.Eligible.min
40	102.5	Reduced.Lunch.Eligible.min
41	102.5	Reduced.Lunch.Eligible.min
42	102.5	Reduced.Lunch.Eligible.min
43	102.5	Reduced.Lunch.Eligible.min
44	102.5	Reduced.Lunch.Eligible.min
45	102.5	Reduced.Lunch.Eligible.min
46	102.5	Reduced.Lunch.Eligible.min
47	102.5	Reduced.Lunch.Eligible.min
