group	y
1	5.13333333333333
2	5.13333333333333
3	5.13333333333333
4	5.13333333333333
5	5.13333333333333
6	5.13333333333333
7	5.13333333333333
8	5.13333333333333
9	5.13333333333333
10	5.13333333333333
11	5.13333333333333
12	5.13333333333333
13	5.13333333333333
14	5.13333333333333
15	5.13333333333333
16	5.13333333333333
17	5.13333333333333
18	5.13333333333333
19	5.13333333333333
20	5.13333333333333
21	5.13333333333333
22	5.13333333333333
23	5.13333333333333
24	5.13333333333333
25	5.13333333333333
26	5.13333333333333
27	5.13333333333333
28	5.13333333333333
29	5.13333333333333
30	5.13333333333333
31	5.13333333333333
32	5.13333333333333
33	5.13333333333333
34	5.13333333333333
35	5.13333333333333
36	5.13333333333333
37	5.13333333333333
38	5.13333333333333
39	5.13333333333333
40	5.13333333333333
41	5.13333333333333
42	5.13333333333333
43	5.13333333333333
44	5.13333333333333
45	5.13333333333333
46	5.13333333333333
47	5.13333333333333
48	5.13333333333333
49	5.13333333333333
50	5.13333333333333
