label	group	x	y
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
City..Large	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
