group	x
1	19.0918830920368
2	19.0918830920368
3	19.0918830920368
4	19.0918830920368
5	14
6	38.9945051074049
7	2.82842712474619
8	6.36396103067893
9	6.36396103067893
10	6.36396103067893
11	6.36396103067893
12	3.53553390593274
13	7.77817459305202
14	3.53553390593274
15	3.53553390593274
16	3.53553390593274
17	3.53553390593274
18	20.4768161587684
19	5.85946527708232
20	24.0069434400411
21	24.0069434400411
22	24.0069434400411
23	24.0069434400411
24	8.26135582092915
25	18.293896978683
26	18.293896978683
27	18.293896978683
28	18.293896978683
29	0
30	15.9269164205337
31	15.9269164205337
32	15.9269164205337
33	15.9269164205337
34	4.04145188432738
35	42.7551166528639
36	42.7551166528639
37	42.7551166528639
38	42.7551166528639
39	4.04145188432738
40	12.8970280814354
41	12.8970280814354
42	12.8970280814354
43	12.8970280814354
44	10.6066017177982
45	7.77817459305202
46	7.77817459305202
47	7.77817459305202
48	7.77817459305202
49	2.88675134594813
50	6.92820323027551
51	63.158090886635
52	63.158090886635
53	63.158090886635
54	63.158090886635
55	129.585664502075
56	129.585664502075
57	129.585664502075
58	129.585664502075
59	134.726678047734
60	134.726678047734
61	134.726678047734
62	134.726678047734
63	134.726678047734
64	134.726678047734
65	134.726678047734
66	134.726678047734
67	134.726678047734
68	8.18535277187245
69	8.18535277187245
70	8.18535277187245
71	8.18535277187245
72	23.8240074994392
73	23.8240074994392
74	23.8240074994392
75	23.8240074994392
76	27.5771644662754
77	27.5771644662754
78	27.5771644662754
79	27.5771644662754
80	14.532721699668
81	44.6183818621877
82	3.947573094109
83	1.91485421551268
84	1.91485421551268
85	1.91485421551268
86	1.91485421551268
87	72.0829548572503
88	72.0829548572503
89	72.0829548572503
90	72.0829548572503
91	0
92	8.48528137423857
93	8.48528137423857
94	8.48528137423857
95	8.48528137423857
96	88.1799094384397
97	3.60555127546399
98	7.59385716659634
99	7.59385716659634
100	7.59385716659634
101	7.59385716659634
102	3.53553390593274
103	0.707106781186548
104	10.6926766215636
105	10.6926766215636
106	10.6926766215636
107	10.6926766215636
108	21.920310216783
109	42.2929179543208
110	36.3623181579253
111	31.8171861316071
112	17.3369959500321
113	17.3369959500321
114	17.3369959500321
115	17.3369959500321
116	50.3333333333333
117	50.3333333333333
118	50.3333333333333
119	50.3333333333333
120	0
121	17.6776695296637
122	16.0078105935821
123	19.5682566077478
124	19.5682566077478
125	19.5682566077478
126	19.5682566077478
127	10.9696551146029
128	27.4043792120894
129	27.4043792120894
130	27.4043792120894
131	27.4043792120894
132	30.0616034169836
133	2.30217288664427
134	2.30217288664427
135	2.30217288664427
136	2.30217288664427
137	6.1400325732035
138	14.0326999065278
139	14.0326999065278
140	14.0326999065278
141	14.0326999065278
142	27.2938158005139
143	39.3281069974134
144	2.3094010767585
145	4.24264068711928
146	1.4142135623731
147	52.0512567891817
148	7.02376916856849
149	3.21455025366432
150	30.7462734869339
151	14.8492424049175
152	11.3137084989848
153	11.3137084989848
154	11.3137084989848
155	11.3137084989848
156	22.2261107708929
157	32.3457879792717
158	32.3457879792717
159	32.3457879792717
160	32.3457879792717
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	18.7705443004015
177	94.7523086789974
178	113.137084989848
179	113.137084989848
180	113.137084989848
181	113.137084989848
182	23.3345237791561
183	0
184	90.1870278920422
185	90.1870278920422
186	90.1870278920422
187	90.1870278920422
188	11.1778550914048
189	11.1778550914048
190	11.1778550914048
191	11.1778550914048
192	42.7856414128748
193	54.425892530833
194	54.425892530833
195	54.425892530833
196	54.425892530833
197	3.20156211871642
198	3.20156211871642
199	3.20156211871642
200	3.20156211871642
201	54.4949538948332
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	14.0564338768172
213	18.9450961113072
214	12.3389626792531
