x	y	tooltip	PANEL
-0.00273934804823576	1	-0.00273934804823576	1
0	2	0	1
0.00227913505832777	3	0.00227913505832777	1
0	1	0	1
0	2	0	1
0	3	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	1	0	1
0.000637637494870507	2	0.000637637494870507	1
0	3	0	1
0	1	0	2
0	2	0	2
0	3	0	2
0	1	0	2
0	2	0	2
-0.00524377005116286	3	-0.00524377005116286	2
0.0002273642665192	1	0.0002273642665192	2
0	2	0	2
0	3	0	2
0	1	0	2
0	2	0	2
0	3	0	2
0.00290481777806191	1	0.00290481777806191	2
0	2	0	2
0	3	0	2
0	1	0	2
0.00952565991500553	2	0.00952565991500553	2
0	3	0	2
0	1	0	2
0	2	0	2
0	3	0	2
0	1	0	2
0.00267048424385918	2	0.00267048424385918	2
0	3	0	2
0	1	0	2
0	2	0	2
-0.00100796940747702	3	-0.00100796940747702	2
0	1	0	2
0	2	0	2
0	3	0	2
0	1	0	3
0	2	0	3
0	1	0	3
-0.00240778879500872	2	-0.00240778879500872	3
0	1	0	3
0	2	0	3
0	1	0	3
0	2	0	3
0.00426489393428407	1	0.00426489393428407	3
-0.00306367303630697	2	-0.00306367303630697	3
0	1	0	3
0	2	0	3
0	1	0	3
0	2	0	3
0.00272334427804406	1	0.00272334427804406	3
0	2	0	3
2.00525571031287e-05	1	2.00525571031287e-05	3
-0.00387883257494257	2	-0.00387883257494257	3
0	1	0	3
0	2	0	3
0.0210694471671497	1	0.0210694471671497	4
-0.000938992115977987	2	-0.000938992115977987	4
0	1	0	4
0	2	0	4
0.00623329850556729	1	0.00623329850556729	4
0	2	0	4
0.0137175766500606	1	0.0137175766500606	4
-0.000839083931698106	2	-0.000839083931698106	4
0	1	0	4
-0.00226317858883892	2	-0.00226317858883892	4
0	1	0	4
-0.00206045040818625	2	-0.00206045040818625	4
0	1	0	4
0	2	0	4
0.0143205009065083	1	0.0143205009065083	4
0	2	0	4
0.0102205900018888	1	0.0102205900018888	4
-0.00409192977682521	2	-0.00409192977682521	4
0	1	0	4
0	2	0	4
0	1	0	5
0.00338547826600851	2	0.00338547826600851	5
0.00791401568363098	3	0.00791401568363098	5
0.00409857697624432	1	0.00409857697624432	5
0	2	0	5
0.00401129689030306	3	0.00401129689030306	5
0.00577702571332275	1	0.00577702571332275	5
0.00485127227761598	2	0.00485127227761598	5
0.00424082624689717	3	0.00424082624689717	5
0	1	0	5
0.00620019740340829	2	0.00620019740340829	5
0	3	0	5
0.00723279043968506	1	0.00723279043968506	5
0.00836788144884563	2	0.00836788144884563	5
0.0127745624185297	3	0.0127745624185297	5
0.00347229316587832	1	0.00347229316587832	5
0	2	0	5
0	3	0	5
0	1	0	5
0	2	0	5
0.00212376010656174	3	0.00212376010656174	5
0	1	0	5
0.0078121264436592	2	0.0078121264436592	5
0	3	0	5
0.00243607229686246	1	0.00243607229686246	5
0.00788050394714547	2	0.00788050394714547	5
0.00746094070414686	3	0.00746094070414686	5
0.00274659523947164	1	0.00274659523947164	5
0	2	0	5
0	3	0	5
-0.0160991818674426	1	-0.0160991818674426	6
0.00794235567583696	2	0.00794235567583696	6
-0.00888245132342089	1	-0.00888245132342089	6
0.0140677370887674	2	0.0140677370887674	6
-9.01999096592944e-05	1	-9.01999096592944e-05	6
0.00538100387404403	2	0.00538100387404403	6
-0.00257082690126224	1	-0.00257082690126224	6
0	2	0	6
-0.0137164860322998	1	-0.0137164860322998	6
0.00966056187531725	2	0.00966056187531725	6
0	1	0	6
0.0123448362958773	2	0.0123448362958773	6
-0.00906445453553736	1	-0.00906445453553736	6
0	2	0	6
0	1	0	6
0.00324108194579003	2	0.00324108194579003	6
-0.00871815078373243	1	-0.00871815078373243	6
0.00670690412952726	2	0.00670690412952726	6
-0.00204877122699386	1	-0.00204877122699386	6
0.00445511088889457	2	0.00445511088889457	6
0.0129701165049882	1	0.0129701165049882	7
0.0159589459369357	1	0.0159589459369357	7
0.0167281619253172	1	0.0167281619253172	7
0.00844849204907725	1	0.00844849204907725	7
0.0120675647974923	1	0.0120675647974923	7
0.0112241056848512	1	0.0112241056848512	7
0.0214468043309242	1	0.0214468043309242	7
0	1	0	7
0.0138205027612785	1	0.0138205027612785	7
0.0171019225542675	1	0.0171019225542675	7
0.0217160001282476	1	0.0217160001282476	8
0.0265349490925059	2	0.0265349490925059	8
0.0933429379701111	3	0.0933429379701111	8
-0.0152663862809346	4	-0.0152663862809346	8
0.035223553449698	5	0.035223553449698	8
0.155582187684593	6	0.155582187684593	8
0.0263670485514152	1	0.0263670485514152	8
0.0300206168823845	2	0.0300206168823845	8
0.0859969877094627	3	0.0859969877094627	8
-0.0139672957655542	4	-0.0139672957655542	8
0.0449053321707874	5	0.0449053321707874	8
0.151484043800338	6	0.151484043800338	8
0.0219302524215351	1	0.0219302524215351	8
0.0265621545451707	2	0.0265621545451707	8
0.0956587937978839	3	0.0956587937978839	8
-0.0192371041665413	4	-0.0192371041665413	8
0.0339285500690571	5	0.0339285500690571	8
0.159977925172241	6	0.159977925172241	8
0.0222981001499557	1	0.0222981001499557	8
0.0323992638051669	2	0.0323992638051669	8
0.0949636958738827	3	0.0949636958738827	8
-0.00906439524075562	4	-0.00906439524075562	8
0.0293811238045261	5	0.0293811238045261	8
0.147574662511767	6	0.147574662511767	8
0.0223190715575625	1	0.0223190715575625	8
0.0289492723434697	2	0.0289492723434697	8
