group	x
1	70
2	70
3	70
4	70
5	78
6	101
7	67
8	72.5
9	72.5
10	72.5
11	72.5
12	56.5
13	63.5
14	87.5
15	87.5
16	87.5
17	87.5
18	413
19	152
20	166
21	166
22	166
23	166
24	268.5
25	289.5
26	289.5
27	289.5
28	289.5
29	314.5
30	317.5
31	317.5
32	317.5
33	317.5
34	191
35	211
36	211
37	211
38	211
39	107
40	104.5
41	104.5
42	104.5
43	104.5
44	70.5
45	73
46	73
47	73
48	73
49	134
50	128
51	332
52	332
53	332
54	332
55	327
56	327
57	327
58	327
59	336
60	336
61	336
62	336
63	336
64	336
65	336
66	336
67	336
68	132
69	132
70	132
71	132
72	141
73	141
74	141
75	141
76	153.5
77	153.5
78	153.5
79	153.5
80	273
81	293
82	48
83	61
84	61
85	61
86	61
87	364
88	364
89	364
90	364
91	164.5
92	160.5
93	160.5
94	160.5
95	160.5
96	428.5
97	84
98	104.5
99	104.5
100	104.5
101	104.5
102	31.5
103	37.5
104	116
105	116
106	116
107	116
108	161
109	80
110	117
111	102
112	186
113	186
114	186
115	186
116	200
117	200
118	200
119	200
120	62
121	72.5
122	128.5
123	122.5
124	122.5
125	122.5
126	122.5
127	75
128	82
129	82
130	82
131	82
132	123
133	43
134	43
135	43
136	43
137	73
138	93.5
139	93.5
140	93.5
141	93.5
142	235
143	267
144	63
145	36
146	36.5
147	185
148	209
149	193
150	230
151	123.5
152	138.5
153	138.5
154	138.5
155	138.5
156	321.5
157	295.5
158	295.5
159	295.5
160	295.5
161	129
162	129
163	129
164	129
165	131
166	131
167	131
168	131
169	131
170	131
171	131
172	131
173	131
174	117
175	92
176	261
177	469.5
178	475.5
179	475.5
180	475.5
181	475.5
182	119
183	459
184	335
185	335
186	335
187	335
188	103
189	103
190	103
191	103
192	117
193	153.5
194	153.5
195	153.5
196	153.5
197	186.5
198	186.5
199	186.5
200	186.5
201	185
202	156
203	151
204	164
205	164
206	164
207	164
208	15
209	15
210	15
211	15
212	251
213	281
214	209.5
215	236.5
216	236.5
217	236.5
218	236.5
219	64.5
220	187
