x	y	PANEL
-0.00273934804823576	1	1
0	2	1
0.00227913505832777	3	1
0	1	1
0	2	1
0	3	1
0	1	1
0	2	1
0	3	1
0	1	1
0	2	1
0	3	1
0	1	1
0	2	1
0	3	1
0	1	1
0	2	1
0	3	1
0	1	1
0	2	1
0	3	1
0	1	1
0	2	1
0	3	1
0	1	1
0	2	1
0	3	1
0	1	1
0.000637637494870507	2	1
0	3	1
0	1	2
0	2	2
0	3	2
0	1	2
0	2	2
-0.00524377005116286	3	2
0.0002273642665192	1	2
0	2	2
0	3	2
0	1	2
0	2	2
0	3	2
0.00290481777806191	1	2
0	2	2
0	3	2
0	1	2
0.00952565991500553	2	2
0	3	2
0	1	2
0	2	2
0	3	2
0	1	2
0.00267048424385918	2	2
0	3	2
0	1	2
0	2	2
-0.00100796940747702	3	2
0	1	2
0	2	2
0	3	2
0	1	3
0	2	3
0	1	3
-0.00240778879500872	2	3
0	1	3
0	2	3
0	1	3
0	2	3
0.00426489393428407	1	3
-0.00306367303630697	2	3
0	1	3
0	2	3
0	1	3
0	2	3
0.00272334427804406	1	3
0	2	3
2.00525571031287e-05	1	3
-0.00387883257494257	2	3
0	1	3
0	2	3
0.0210694471671497	1	4
-0.000938992115977987	2	4
0	1	4
0	2	4
0.00623329850556729	1	4
0	2	4
0.0137175766500606	1	4
-0.000839083931698106	2	4
0	1	4
-0.00226317858883892	2	4
0	1	4
-0.00206045040818625	2	4
0	1	4
0	2	4
0.0143205009065083	1	4
0	2	4
0.0102205900018888	1	4
-0.00409192977682521	2	4
0	1	4
0	2	4
0	1	5
0.00338547826600851	2	5
0.00791401568363098	3	5
0.00409857697624432	1	5
0	2	5
0.00401129689030306	3	5
0.00577702571332275	1	5
0.00485127227761598	2	5
0.00424082624689717	3	5
0	1	5
0.00620019740340829	2	5
0	3	5
0.00723279043968506	1	5
0.00836788144884563	2	5
0.0127745624185297	3	5
0.00347229316587832	1	5
0	2	5
0	3	5
0	1	5
0	2	5
0.00212376010656174	3	5
0	1	5
0.0078121264436592	2	5
0	3	5
0.00243607229686246	1	5
0.00788050394714547	2	5
0.00746094070414686	3	5
0.00274659523947164	1	5
0	2	5
0	3	5
-0.0160991818674426	1	6
0.00794235567583696	2	6
-0.00888245132342089	1	6
0.0140677370887674	2	6
-9.01999096592944e-05	1	6
0.00538100387404403	2	6
-0.00257082690126224	1	6
0	2	6
-0.0137164860322998	1	6
0.00966056187531725	2	6
0	1	6
0.0123448362958773	2	6
-0.00906445453553736	1	6
0	2	6
0	1	6
0.00324108194579003	2	6
-0.00871815078373243	1	6
0.00670690412952726	2	6
-0.00204877122699386	1	6
0.00445511088889457	2	6
0.0129701165049882	1	7
0.0159589459369357	1	7
0.0167281619253172	1	7
0.00844849204907725	1	7
0.0120675647974923	1	7
0.0112241056848512	1	7
0.0214468043309242	1	7
0	1	7
0.0138205027612785	1	7
0.0171019225542675	1	7
0.0217160001282476	1	8
0.0265349490925059	2	8
0.0933429379701111	3	8
-0.0152663862809346	4	8
0.035223553449698	5	8
0.155582187684593	6	8
0.0263670485514152	1	8
0.0300206168823845	2	8
0.0859969877094627	3	8
-0.0139672957655542	4	8
0.0449053321707874	5	8
0.151484043800338	6	8
0.0219302524215351	1	8
0.0265621545451707	2	8
0.0956587937978839	3	8
-0.0192371041665413	4	8
0.0339285500690571	5	8
0.159977925172241	6	8
0.0222981001499557	1	8
0.0323992638051669	2	8
0.0949636958738827	3	8
-0.00906439524075562	4	8
0.0293811238045261	5	8
0.147574662511767	6	8
0.0223190715575625	1	8
0.0289492723434697	2	8
0.109943328160112	3	8
-0.0100709440877062	4	8
0.0327692664773524	5	8
0.146333403433093	6	8
0.0234880367656988	1	8
0.0262710543845654	2	8
0.107006135305065	3	8
-0.00840557813145632	4	8
0.0356533145972562	5	8
0.147312053400776	6	8
0.0116500094541904	1	8
0.0334694991857858	2	8
0.0918132629983623	3	8
-0.011635439283652	4	8
0.0388072332787453	5	8
0.147402705341036	6	8
0.0170061180387652	1	8
0.0164214909968759	2	8
0.0803680997326988	3	8
-0.0085950601659481	4	8
0.0249677481752549	5	8
0.200022350512781	6	8
0.0248211714178714	1	8
0.0247883149122383	2	8
0.106445302353112	3	8
-0.0107212995525535	4	8
0.0333737468694857	5	8
0.139404909325658	6	8
0.0209287787604727	1	8
0.0251379250803227	2	8
0.0957285475113101	3	8
-0.00956153096201814	4	8
0.0326499288643185	5	8
0.155946314303932	6	8
