group	y	label
1	2	Rural..Remote
2	2	Rural..Remote
3	2	Rural..Remote
4	2	Rural..Remote
5	2	Rural..Remote
6	2	Rural..Remote
7	2	Rural..Remote
8	2	Rural..Remote
9	2	Rural..Remote
10	2	Rural..Remote
11	2	Rural..Remote
12	2	Rural..Remote
13	2	Rural..Remote
14	2	Rural..Remote
15	2	Rural..Remote
16	2	Rural..Remote
17	2	Rural..Remote
18	2	Rural..Remote
19	2	Rural..Remote
20	2	Rural..Remote
21	2	Rural..Remote
22	2	Rural..Remote
23	2	Rural..Remote
24	2	Rural..Remote
25	2	Rural..Remote
26	2	Rural..Remote
27	2	Rural..Remote
28	2	Rural..Remote
29	2	Rural..Remote
30	2	Rural..Remote
31	2	Rural..Remote
32	2	Rural..Remote
33	2	Rural..Remote
34	2	Rural..Remote
35	2	Rural..Remote
36	2	Rural..Remote
37	2	Rural..Remote
38	2	Rural..Remote
39	2	Rural..Remote
40	2	Rural..Remote
41	2	Rural..Remote
42	2	Rural..Remote
43	2	Rural..Remote
44	2	Rural..Remote
45	2	Rural..Remote
46	2	Rural..Remote
47	2	Rural..Remote
