group	fill	y	tooltip	ymin	ymax	colour
1	#FFFCFB	-29	0.0146823686837559	-29.5	-28.5	#FFFCFB
2	#FFF6F3	-24	0.0453024074150649	-24.5	-23.5	#FFF6F3
3	#FFF5F1	-22	0.0517576614141534	-22.5	-21.5	#FFF5F1
4	#FFE8E0	-11	0.119052049210983	-11.5	-10.5	#FFE8E0
5	#FFE7DE	-9	0.128319549841919	-9.5	-8.5	#FFE7DE
6	#FFF0EA	-17	0.0786178757998256	-17.5	-16.5	#FFF0EA
7	#FFFBFA	-28	0.0193038906114959	-28.5	-27.5	#FFFBFA
8	#FFE7DE	-10	0.128057924265174	-10.5	-9.5	#FFE7DE
9	#FFC9B7	-4	0.280735297470734	-4.5	-3.5	#FFC9B7
10	#FFF9F7	-25	0.0322567415796808	-25.5	-24.5	#FFF9F7
11	#F3EBFF	-15	-0.0864421242568716	-15.5	-14.5	#F3EBFF
12	#FFF4F0	-20	0.056179721064515	-20.5	-19.5	#FFF4F0
13	#FFE3D8	-7	0.148469405153543	-7.5	-6.5	#FFE3D8
14	#FFE7DE	-8	0.128430792543307	-8.5	-7.5	#FFE7DE
15	#FFF6F2	-23	0.049539311832842	-23.5	-22.5	#FFF6F2
16	#F6EFFF	-19	-0.068352619555174	-19.5	-18.5	#F6EFFF
17	#FCFAFF	-26	-0.0204661357531489	-26.5	-25.5	#FCFAFF
18	#F5EDFF	-18	-0.0741889903098984	-18.5	-17.5	#F5EDFF
19	#FFE9E0	-12	0.117515345023701	-12.5	-11.5	#FFE9E0
20	#FF0000	-1	1	-1.5	-0.5	#FF0000
21	#FFEBE3	-13	0.106832434618359	-13.5	-12.5	#FFEBE3
22	#FFF4F0	-21	0.0560815777192896	-21.5	-20.5	#FFF4F0
23	#FFD8CB	-5	0.202307436790045	-5.5	-4.5	#FFD8CB
24	#FCFAFF	-27	-0.0202017131837326	-27.5	-26.5	#FCFAFF
25	#FFC9B6	-3	0.284462391830705	-3.5	-2.5	#FFC9B6
26	#FEFEFF	-30	-0.00458492331513426	-30.5	-29.5	#FEFEFF
27	#F2E8FF	-14	-0.0977300020281857	-14.5	-13.5	#F2E8FF
28	#FFEFE9	-16	0.0840298168520392	-16.5	-15.5	#FFEFE9
29	#FFC0AB	-2	0.328330852568892	-2.5	-1.5	#FFC0AB
30	#FFDFD3	-6	0.170021436795687	-6.5	-5.5	#FFDFD3
