group	fill	y	tooltip	ymin	ymax	colour
1	#FFFEFE	-28	0.00379970792496289	-28.5	-27.5	#FFFEFE
2	#FFFAF7	-13	0.0287608784909408	-13.5	-12.5	#FFFAF7
3	#FFFAF8	-14	0.0267395571618467	-14.5	-13.5	#FFFAF8
4	#FFFDFC	-22	0.0130053819793494	-22.5	-21.5	#FFFDFC
5	#F8F3FF	-8	-0.0523306294031051	-8.5	-7.5	#F8F3FF
6	#FFF2ED	-6	0.0670519310757609	-6.5	-5.5	#FFF2ED
7	#FFFFFF	-30	-0.00195765108039943	-30.5	-29.5	#FFFFFF
8	#FFF5F2	-10	0.0509997941448018	-10.5	-9.5	#FFF5F2
9	#F5EDFF	-5	-0.0760262160369044	-5.5	-4.5	#F5EDFF
10	#FFFAF9	-16	0.0245084873042871	-16.5	-15.5	#FFFAF9
11	#FDFBFF	-21	-0.01561993666011	-21.5	-20.5	#FDFBFF
12	#F1E7FF	-3	-0.100918896753186	-3.5	-2.5	#F1E7FF
13	#FAF6FF	-11	-0.0397304126895039	-11.5	-10.5	#FAF6FF
14	#FFF5F1	-9	0.0522245896852543	-9.5	-8.5	#FFF5F1
15	#FFFCFA	-20	0.0173660191867322	-20.5	-19.5	#FFFCFA
16	#FFEFE9	-4	0.084502120179992	-4.5	-3.5	#FFEFE9
17	#FF0000	-1	1	-1.5	-0.5	#FF0000
18	#FEFDFF	-25	-0.00725890545971078	-25.5	-24.5	#FEFDFF
19	#FEFDFF	-24	-0.00830900918680279	-24.5	-23.5	#FEFDFF
20	#FCFAFF	-19	-0.0204661357531489	-19.5	-18.5	#FCFAFF
21	#FCF9FF	-15	-0.0257391843629454	-15.5	-14.5	#FCF9FF
22	#FDFCFF	-23	-0.0122190751803561	-23.5	-22.5	#FDFCFF
23	#FFF8F5	-12	0.0380376389210016	-12.5	-11.5	#FFF8F5
24	#FEFEFF	-26	-0.00588578978886233	-26.5	-25.5	#FEFEFF
25	#FEFEFF	-27	-0.00496045019721247	-27.5	-26.5	#FEFEFF
26	#FFF2EE	-7	0.0659896971875127	-7.5	-6.5	#FFF2EE
27	#FFFEFF	-29	-0.00231427422365059	-29.5	-28.5	#FFFEFF
28	#FFE7DE	-2	0.12841900981886	-2.5	-1.5	#FFE7DE
29	#FCF9FF	-17	-0.0240198399512804	-17.5	-16.5	#FCF9FF
30	#FCF9FF	-18	-0.0239809402311858	-18.5	-17.5	#FCF9FF
