group	y
1	-29.3
2	-26.3
3	-12.3
4	-6.3
5	-25.3
6	-2.3
7	-20.3
8	-1.3
9	-11.3
10	-3.3
11	-23.3
12	-8.3
13	-14.3
14	-18.3
15	-7.3
16	-19.3
17	-21.3
18	-16.3
19	-27.3
20	-9.3
21	-28.3
22	-5.3
23	-30.3
24	-15.3
25	-13.3
26	-22.3
27	-4.3
28	-24.3
29	-17.3
30	-10.3
