group	fill	y	tooltip	ymin	ymax	colour
1	#FFC3AF	-4	0.311393388289565	-4.5	-3.5	#FFC3AF
2	#FFD2C2	-6	0.234987731617051	-6.5	-5.5	#FFD2C2
3	#FAF6FF	-18	-0.0381612645387871	-18.5	-17.5	#FAF6FF
4	#E2CEFF	-7	-0.207939285097532	-7.5	-6.5	#E2CEFF
5	#FFC1AD	-3	0.321068769259612	-3.5	-2.5	#FFC1AD
6	#FFFEFF	-27	-0.00287373416010817	-27.5	-26.5	#FFFEFF
7	#FEFCFF	-24	-0.0105886283947503	-24.5	-23.5	#FEFCFF
8	#F9F4FF	-17	-0.0467015480671362	-17.5	-16.5	#F9F4FF
9	#FFDACD	-8	0.192390671665984	-8.5	-7.5	#FFDACD
10	#FCFAFF	-22	-0.0198289598912718	-22.5	-21.5	#FCFAFF
11	#FFFEFF	-28	-0.00227955286450161	-28.5	-27.5	#FFFEFF
12	#FFE0D4	-9	0.164279324441205	-9.5	-8.5	#FFE0D4
13	#FCFAFF	-21	-0.0217393056928118	-21.5	-20.5	#FCFAFF
14	#F2E8FF	-11	-0.0989578258617851	-11.5	-10.5	#F2E8FF
15	#FFF8F5	-19	0.0370434882911905	-19.5	-18.5	#FFF8F5
16	#FFFFFF	-29	0.00106247699300165	-29.5	-28.5	#FFFFFF
17	#FFF2EE	-14	0.0659896971875127	-14.5	-13.5	#FFF2EE
18	#F7F1FF	-16	-0.0602292177354874	-16.5	-15.5	#F7F1FF
19	#FFFDFC	-23	0.0120023424422364	-23.5	-22.5	#FFFDFC
20	#FEFEFF	-26	-0.00458492331513426	-26.5	-25.5	#FEFEFF
21	#FFBFAA	-2	0.333113218559931	-2.5	-1.5	#FFBFAA
22	#F5EEFF	-13	-0.0731163742496243	-13.5	-12.5	#F5EEFF
23	#FFC9B6	-5	0.284114433303677	-5.5	-4.5	#FFC9B6
24	#FFFFFF	-30	-0.00057495548479644	-30.5	-29.5	#FFFFFF
25	#FFF9F7	-20	0.0300818493354266	-20.5	-19.5	#FFF9F7
26	#FF0000	-1	1	-1.5	-0.5	#FF0000
27	#F6F0FF	-15	-0.0641673192634053	-15.5	-14.5	#F6F0FF
28	#FFFDFD	-25	0.00852448744905636	-25.5	-24.5	#FFFDFD
29	#FFEFE9	-12	0.0845049689758745	-12.5	-11.5	#FFEFE9
30	#F1E7FF	-10	-0.102064431380138	-10.5	-9.5	#F1E7FF
