group	fill	y	ymin	ymax	colour
1	#FFE4DA	7	6.5	7.5	#FFE4DA
2	#FFF8F5	23	22.5	23.5	#FFF8F5
3	#FFE8DF	9	8.5	9.5	#FFE8DF
4	#FCF9FF	27	26.5	27.5	#FCF9FF
5	#FFEDE7	14	13.5	14.5	#FFEDE7
6	#FFF6F3	21	20.5	21.5	#FFF6F3
7	#FFF8F6	24	23.5	24.5	#FFF8F6
8	#FBF8FF	26	25.5	26.5	#FBF8FF
9	#FFEFE9	16	15.5	16.5	#FFEFE9
10	#FFF7F4	22	21.5	22.5	#FFF7F4
11	#FEFDFF	29	28.5	29.5	#FEFDFF
12	#FFF4EF	19	18.5	19.5	#FFF4EF
13	#FFE5DB	8	7.5	8.5	#FFE5DB
14	#FFF1EC	18	17.5	18.5	#FFF1EC
15	#FFFEFD	30	29.5	30.5	#FFFEFD
16	#FFFCFB	28	27.5	28.5	#FFFCFB
17	#FFEAE3	12	11.5	12.5	#FFEAE3
18	#F4ECFF	17	16.5	17.5	#F4ECFF
19	#F3EBFF	15	14.5	15.5	#F3EBFF
20	#FFE3D9	5	4.5	5.5	#FFE3D9
21	#FFEAE3	11	10.5	11.5	#FFEAE3
22	#FFDFD3	3	2.5	3.5	#FFDFD3
23	#FF0000	1	0.5	1.5	#FF0000
24	#FFE8E0	10	9.5	10.5	#FFE8E0
25	#FFE3DA	6	5.5	6.5	#FFE3DA
26	#FFCDBC	2	1.5	2.5	#FFCDBC
27	#F8F2FF	20	19.5	20.5	#F8F2FF
28	#FFF9F7	25	24.5	25.5	#FFF9F7
29	#FFE2D7	4	3.5	4.5	#FFE2D7
30	#F1E7FF	13	12.5	13.5	#F1E7FF
