group	fill	y	ymin	ymax	colour
1	#FDFCFF	25	24.5	25.5	#FDFCFF
2	#FFF5F1	9	8.5	9.5	#FFF5F1
3	#FCF9FF	21	20.5	21.5	#FCF9FF
4	#FFF8F5	14	13.5	14.5	#FFF8F5
5	#F3EBFF	5	4.5	5.5	#F3EBFF
6	#FEFDFF	29	28.5	29.5	#FEFDFF
7	#FBF7FF	17	16.5	17.5	#FBF7FF
8	#FFF6F2	11	10.5	11.5	#FFF6F2
9	#F9F4FF	12	11.5	12.5	#F9F4FF
10	#FFFCFB	24	23.5	24.5	#FFFCFB
11	#FFF9F7	18	17.5	18.5	#FFF9F7
12	#F3EAFF	4	3.5	4.5	#F3EAFF
13	#F7F0FF	7	6.5	7.5	#F7F0FF
14	#FFF1EC	6	5.5	6.5	#FFF1EC
15	#FCF9FF	20	19.5	20.5	#FCF9FF
16	#FFDBCE	1	0.5	1.5	#FFDBCE
17	#FFFFFF	30	29.5	30.5	#FFFFFF
18	#FFE9E1	2	1.5	2.5	#FFE9E1
19	#FFFCFB	22	21.5	22.5	#FFFCFB
20	#F7F2FF	8	7.5	8.5	#F7F2FF
21	#F2E8FF	3	2.5	3.5	#F2E8FF
22	#FDFCFF	28	27.5	28.5	#FDFCFF
23	#FAF5FF	13	12.5	13.5	#FAF5FF
24	#FBF7FF	16	15.5	16.5	#FBF7FF
25	#FDFCFF	26	25.5	26.5	#FDFCFF
26	#FAF6FF	15	14.5	15.5	#FAF6FF
27	#FFFDFC	27	26.5	27.5	#FFFDFC
28	#F8F2FF	10	9.5	10.5	#F8F2FF
29	#FBF8FF	19	18.5	19.5	#FBF8FF
30	#FDFBFF	23	22.5	23.5	#FDFBFF
