group	fill	y	tooltip	ymin	ymax	colour
1	#FFC4B1	-8	0.305657289177249	-8.5	-7.5	#FFC4B1
2	#FFE7DF	-15	0.124692034913475	-15.5	-14.5	#FFE7DF
3	#FFE2D8	-13	0.149467278198617	-13.5	-12.5	#FFE2D8
4	#F1E7FF	-17	-0.10183848234504	-17.5	-16.5	#F1E7FF
5	#FFB198	-4	0.404360378413808	-4.5	-3.5	#FFB198
6	#FFD1C1	-9	0.2414462166638	-9.5	-8.5	#FFD1C1
7	#FFFCFA	-30	0.0175808447992258	-30.5	-29.5	#FFFCFA
8	#FFF3EE	-25	0.0641008507652546	-25.5	-24.5	#FFF3EE
9	#FF8969	-2	0.601533125787202	-2.5	-1.5	#FF8969
10	#FFD9CB	-12	0.200921121653573	-12.5	-11.5	#FFD9CB
11	#F3E9FF	-20	-0.0930043364764676	-20.5	-19.5	#F3E9FF
12	#FFD5C6	-10	0.219565560922676	-10.5	-9.5	#FFD5C6
13	#FFBFAA	-7	0.334894196552873	-7.5	-6.5	#FFBFAA
14	#FFF1EC	-23	0.0709490739786268	-23.5	-22.5	#FFF1EC
15	#FFF9F7	-28	0.0324222395679925	-28.5	-27.5	#FFF9F7
16	#E2CEFF	-11	-0.210840781248027	-11.5	-10.5	#E2CEFF
17	#FAF7FF	-27	-0.0356330047001603	-27.5	-26.5	#FAF7FF
18	#F3EAFF	-21	-0.0892657417024963	-21.5	-20.5	#F3EAFF
19	#F5EEFF	-22	-0.072241441468818	-22.5	-21.5	#F5EEFF
20	#FFB8A2	-5	0.36730455759758	-5.5	-4.5	#FFB8A2
21	#FFA98E	-3	0.447317808580044	-3.5	-2.5	#FFA98E
22	#FDFCFF	-31	-0.012628125216839	-31.5	-30.5	#FDFCFF
23	#FFE8E0	-16	0.118140792485341	-16.5	-15.5	#FFE8E0
24	#FFF7F4	-26	0.0421184908498594	-26.5	-25.5	#FFF7F4
25	#FFBAA4	-6	0.357015976789088	-6.5	-5.5	#FFBAA4
26	#FFE5DB	-14	0.138736167119441	-14.5	-13.5	#FFE5DB
27	#FBF8FF	-29	-0.0311075808699915	-29.5	-28.5	#FBF8FF
28	#FFEDE6	-19	0.0960159646945632	-19.5	-18.5	#FFEDE6
29	#FF0000	-1	1	-1.5	-0.5	#FF0000
30	#FFECE5	-18	0.100855549147906	-18.5	-17.5	#FFECE5
31	#F6F0FF	-24	-0.0654253909369353	-24.5	-23.5	#F6F0FF
