group	fill	y	ymin	ymax	colour
1	#FFC4B0	6	5.5	6.5	#FFC4B0
2	#FFE7DE	17	16.5	17.5	#FFE7DE
3	#FFFDFD	27	26.5	27.5	#FFFDFD
4	#E7D6FF	13	12.5	13.5	#E7D6FF
5	#FFBDA8	4	3.5	4.5	#FFBDA8
6	#FFE0D5	15	14.5	15.5	#FFE0D5
7	#FFE9E1	19	18.5	19.5	#FFE9E1
8	#FFF2ED	25	24.5	25.5	#FFF2ED
9	#FF0000	1	0.5	1.5	#FF0000
10	#FFE9E1	21	20.5	21.5	#FFE9E1
11	#FFDDD1	11	10.5	11.5	#FFDDD1
12	#FFC9B6	8	7.5	8.5	#FFC9B6
13	#FFDDD1	12	11.5	12.5	#FFDDD1
14	#FFFAF9	26	25.5	26.5	#FFFAF9
15	#FFE9E1	20	19.5	20.5	#FFE9E1
16	#F5EDFF	23	22.5	23.5	#F5EDFF
17	#F5EEFF	24	23.5	24.5	#F5EEFF
18	#EEE1FF	16	15.5	16.5	#EEE1FF
19	#FFFEFD	28	27.5	28.5	#FFFEFD
20	#FFC3AE	5	4.5	5.5	#FFC3AE
21	#FFA68B	3	2.5	3.5	#FFA68B
22	#EFE3FF	18	17.5	18.5	#EFE3FF
23	#FFEFE9	22	21.5	22.5	#FFEFE9
24	#FEFEFF	30	29.5	30.5	#FEFEFF
25	#FFC8B6	7	6.5	7.5	#FFC8B6
26	#FFDED2	14	13.5	14.5	#FFDED2
27	#FFFEFD	29	28.5	29.5	#FFFEFD
28	#FFDCD0	10	9.5	10.5	#FFDCD0
29	#FFA488	2	1.5	2.5	#FFA488
30	#FFD7C9	9	8.5	9.5	#FFD7C9
