group	fill	y	tooltip	ymin	ymax	colour
1	#FFCCBB	-9	0.26429247067276	-9.5	-8.5	#FFCCBB
2	#FFE7DE	-17	0.126417796876027	-17.5	-16.5	#FFE7DE
3	#F9F4FF	-26	-0.0448113933024974	-26.5	-25.5	#F9F4FF
4	#D8BFFF	-8	-0.27483870696844	-8.5	-7.5	#D8BFFF
5	#FFAE95	-4	0.419931987692063	-4.5	-3.5	#FFAE95
6	#FFDFD3	-14	0.168827496398207	-14.5	-13.5	#FFDFD3
7	#FFF7F4	-27	0.0424954882759532	-27.5	-26.5	#FFF7F4
8	#FFEBE4	-19	0.103596537878045	-19.5	-18.5	#FFEBE4
9	#FF0000	-1	1	-1.5	-0.5	#FF0000
10	#FFE2D7	-15	0.153622561377718	-15.5	-14.5	#FFE2D7
11	#FFF2ED	-25	0.0705413609331256	-25.5	-24.5	#FFF2ED
12	#FFBAA3	-5	0.359370971433821	-5.5	-4.5	#FFBAA3
13	#FFC8B6	-6	0.285203561067791	-6.5	-5.5	#FFC8B6
14	#F5EDFF	-23	-0.0763545551970113	-23.5	-22.5	#F5EDFF
15	#FFEAE2	-18	0.109620721103951	-18.5	-17.5	#FFEAE2
16	#ECDDFF	-16	-0.143234986393072	-16.5	-15.5	#ECDDFF
17	#F5EDFF	-24	-0.0760262160369044	-24.5	-23.5	#F5EDFF
18	#F5EDFF	-22	-0.0765462141363915	-22.5	-21.5	#F5EDFF
19	#FEFCFF	-29	-0.0112646684726068	-29.5	-28.5	#FEFCFF
20	#FFC9B7	-7	0.280735297470734	-7.5	-6.5	#FFC9B7
21	#FF8767	-2	0.610350113675494	-2.5	-1.5	#FF8767
22	#E7D7FF	-13	-0.172318512877214	-13.5	-12.5	#E7D7FF
23	#FFF0EB	-21	0.0779533535762899	-21.5	-20.5	#FFF0EB
24	#FEFEFF	-30	-0.00387935738194752	-30.5	-29.5	#FEFEFF
25	#FFCFBE	-10	0.251829121657273	-10.5	-9.5	#FFCFBE
26	#FFDACD	-12	0.192390671665984	-12.5	-11.5	#FFDACD
27	#FFF8F5	-28	0.0387309693337526	-28.5	-27.5	#FFF8F5
28	#FFEDE6	-20	0.0966887984313428	-20.5	-19.5	#FFEDE6
29	#FF8C6D	-3	0.586978022773952	-3.5	-2.5	#FF8C6D
30	#FFD7CA	-11	0.206993655774065	-11.5	-10.5	#FFD7CA
