group	fill	y	ymin	ymax	colour
1	#FFC6B2	7	6.5	7.5	#FFC6B2
2	#FFE5DB	14	13.5	14.5	#FFE5DB
3	#EBDCFF	13	12.5	13.5	#EBDCFF
4	#CCADFF	5	4.5	5.5	#CCADFF
5	#FF0000	1	0.5	1.5	#FF0000
6	#F9F4FF	24	23.5	24.5	#F9F4FF
7	#FFF4F0	22	21.5	22.5	#FFF4F0
8	#F1E7FF	17	16.5	17.5	#F1E7FF
9	#FFBDA8	6	5.5	6.5	#FFBDA8
10	#FFFFFF	30	29.5	30.5	#FFFFFF
11	#FCFAFF	27	26.5	27.5	#FCFAFF
12	#FFBBA5	4	3.5	4.5	#FFBBA5
13	#FFD9CC	8	7.5	8.5	#FFD9CC
14	#EEE1FF	15	14.5	15.5	#EEE1FF
15	#FFF3EE	19	18.5	19.5	#FFF3EE
16	#E8D7FF	10	9.5	10.5	#E8D7FF
17	#F7F0FF	20	19.5	20.5	#F7F0FF
18	#EADAFF	12	11.5	12.5	#EADAFF
19	#FEFDFF	29	28.5	29.5	#FEFDFF
20	#FFF6F3	25	24.5	25.5	#FFF6F3
21	#FF9A7C	2	1.5	2.5	#FF9A7C
22	#F1E6FF	16	15.5	16.5	#F1E6FF
23	#FFEDE7	18	17.5	18.5	#FFEDE7
24	#FFFDFD	28	27.5	28.5	#FFFDFD
25	#FFDED3	9	8.5	9.5	#FFDED3
26	#FFE0D5	11	10.5	11.5	#FFE0D5
27	#F7F0FF	21	20.5	21.5	#F7F0FF
28	#FAF6FF	26	25.5	26.5	#FAF6FF
29	#FFA388	3	2.5	3.5	#FFA388
30	#FFF6F2	23	22.5	23.5	#FFF6F2
