y	showSelected2	group
0.0394736842105263	District.Leadership.Team.Members	159
0.163461538461538	District.Leadership.Team.Members	160
0.0975609756097561	District.Leadership.Team.Members	161
0.142857142857143	District.Leadership.Team.Members	162
0.147727272727273	District.Leadership.Team.Members	163
0	District.Leadership.Team.Members	164
0.354838709677419	District.Leadership.Team.Members	165
0.121212121212121	District.Leadership.Team.Members	166
0	District.Leadership.Team.Members	167
0.666666666666667	District.Leadership.Team.Members	168
0.5	District.Leadership.Team.Members	169
0.647058823529412	District.Leadership.Team.Members	170
1	District.Leadership.Team.Members	171
0.235294117647059	District.Leadership.Team.Members	172
0.3	District.Leadership.Team.Members	173
0.666666666666667	District.Leadership.Team.Members	174
0.777777777777778	District.Leadership.Team.Members	175
1	District.Leadership.Team.Members	176
0.25	District.Leadership.Team.Members	177
0.25	District.Leadership.Team.Members	178
0.125	District.Leadership.Team.Members	179
0.666666666666667	District.Leadership.Team.Members	180
0.4	District.Leadership.Team.Members	181
0	District.Leadership.Team.Members	182
0.5	District.Leadership.Team.Members	183
1	District.Leadership.Team.Members	184
0	District.Leadership.Team.Members	185
1	District.Leadership.Team.Members	186
0.727272727272727	District.Leadership.Team.Members	187
1	District.Leadership.Team.Members	188
0.277777777777778	District.Leadership.Team.Members	189
0.4	District.Leadership.Team.Members	190
0.6	District.Leadership.Team.Members	191
1	District.Leadership.Team.Members	192
0.666666666666667	District.Leadership.Team.Members	193
0	District.Leadership.Team.Members	194
0.7	District.Leadership.Team.Members	195
0.75	District.Leadership.Team.Members	196
0.916666666666667	District.Leadership.Team.Members	197
0.5	District.Leadership.Team.Members	198
0.666666666666667	District.Leadership.Team.Members	199
0.6	District.Leadership.Team.Members	200
0.571428571428571	District.Leadership.Team.Members	201
0.5	District.Leadership.Team.Members	202
0	District.Leadership.Team.Members	203
0.5	District.Leadership.Team.Members	204
1	District.Leadership.Team.Members	205
1	District.Leadership.Team.Members	206
0.75	District.Leadership.Team.Members	207
1	District.Leadership.Team.Members	208
0.5	District.Leadership.Team.Members	209
0.826086956521739	District.Leadership.Team.Members	210
0.777777777777778	District.Leadership.Team.Members	211
0.5	District.Leadership.Team.Members	212
0.8	District.Leadership.Team.Members	213
1	District.Leadership.Team.Members	214
0.75	District.Leadership.Team.Members	215
0.857142857142857	District.Leadership.Team.Members	216
1	District.Leadership.Team.Members	217
0.545454545454545	District.Leadership.Team.Members	218
0.75	District.Leadership.Team.Members	219
0.833333333333333	District.Leadership.Team.Members	220
1	District.Leadership.Team.Members	221
0	District.Leadership.Team.Members	222
0.5	District.Leadership.Team.Members	223
0.625	District.Leadership.Team.Members	224
0.25	District.Leadership.Team.Members	225
0.333333333333333	District.Leadership.Team.Members	226
0.777777777777778	District.Leadership.Team.Members	227
1	District.Leadership.Team.Members	228
1	District.Leadership.Team.Members	229
1	District.Leadership.Team.Members	230
0.7	District.Leadership.Team.Members	231
0.75	District.Leadership.Team.Members	232
0.692307692307692	District.Leadership.Team.Members	233
0.6	District.Leadership.Team.Members	234
0.625	District.Leadership.Team.Members	235
0.625	District.Leadership.Team.Members	236
0.727272727272727	District.Leadership.Team.Members	237
0.5	District.Leadership.Team.Members	238
0.727272727272727	District.Leadership.Team.Members	239
0.8	District.Leadership.Team.Members	240
0.25	District.Leadership.Team.Members	241
0.0714285714285714	District.Leadership.Team.Members	242
0	District.Leadership.Team.Members	243
0.148148148148148	District.Leadership.Team.Members	244
1	District.Leadership.Team.Members	245
1	District.Leadership.Team.Members	246
1	District.Leadership.Team.Members	247
1	District.Leadership.Team.Members	248
0	District.Leadership.Team.Members	249
0.666666666666667	District.Leadership.Team.Members	250
0.25	District.Leadership.Team.Members	251
1	District.Leadership.Team.Members	252
1	District.Leadership.Team.Members	253
0.833333333333333	District.Leadership.Team.Members	254
0.5	District.Leadership.Team.Members	255
0.6	District.Leadership.Team.Members	256
0.75	District.Leadership.Team.Members	257
0.666666666666667	District.Leadership.Team.Members	258
0.68	District.Leadership.Team.Members	259
0.75	District.Leadership.Team.Members	260
0.571428571428571	District.Leadership.Team.Members	261
1	District.Leadership.Team.Members	262
0	District.Leadership.Team.Members	263
0.166666666666667	District.Leadership.Team.Members	264
1	District.Leadership.Team.Members	265
0.384615384615385	District.Leadership.Team.Members	266
0.354838709677419	District.Leadership.Team.Members	267
0.5	District.Leadership.Team.Members	268
0	District.Leadership.Team.Members	269
0	District.Leadership.Team.Members	270
0.615384615384615	District.Leadership.Team.Members	271
1	District.Leadership.Team.Members	272
0.5	District.Leadership.Team.Members	273
1	District.Leadership.Team.Members	274
0.636363636363636	District.Leadership.Team.Members	275
1	District.Leadership.Team.Members	276
0.454545454545455	District.Leadership.Team.Members	277
0.666666666666667	District.Leadership.Team.Members	278
1	District.Leadership.Team.Members	279
1	District.Leadership.Team.Members	280
1	District.Leadership.Team.Members	281
1	District.Leadership.Team.Members	282
0.230769230769231	District.Leadership.Team.Members	283
0	District.Leadership.Team.Members	284
0.0588235294117647	District.Leadership.Team.Members	285
0.323529411764706	District.Leadership.Team.Members	286
0.173913043478261	District.Leadership.Team.Members	287
0.375	District.Leadership.Team.Members	288
0.875	District.Leadership.Team.Members	289
0.533333333333333	District.Leadership.Team.Members	290
0	District.Leadership.Team.Members	291
0.666666666666667	District.Leadership.Team.Members	292
0.5	District.Leadership.Team.Members	293
0.333333333333333	District.Leadership.Team.Members	294
0.428571428571429	District.Leadership.Team.Members	295
0.833333333333333	District.Leadership.Team.Members	296
0	District.Leadership.Team.Members	297
0.75	District.Leadership.Team.Members	298
0.777777777777778	District.Leadership.Team.Members	299
0.8	District.Leadership.Team.Members	300
1	District.Leadership.Team.Members	301
0.259259259259259	District.Leadership.Team.Members	302
0.138461538461538	District.Leadership.Team.Members	303
0.115384615384615	District.Leadership.Team.Members	304
0.25	District.Leadership.Team.Members	305
1	District.Leadership.Team.Members	306
1	District.Leadership.Team.Members	307
0.642857142857143	District.Leadership.Team.Members	308
1	District.Leadership.Team.Members	309
0.75	District.Leadership.Team.Members	310
0.5	District.Leadership.Team.Members	311
1	District.Leadership.Team.Members	312
0	District.Leadership.Team.Members	313
0.428571428571429	District.Leadership.Team.Members	314
0.692307692307692	District.Leadership.Team.Members	315
0.571428571428571	District.Leadership.Team.Members	316
0.666666666666667	District.Leadership.Team.Members	317
0.75	District.Leadership.Team.Members	318
0.714285714285714	District.Leadership.Team.Members	319
0.5	District.Leadership.Team.Members	320
0.863636363636364	District.Leadership.Team.Members	321
0.666666666666667	District.Leadership.Team.Members	322
1	District.Leadership.Team.Members	323
0.666666666666667	District.Leadership.Team.Members	324
1	District.Leadership.Team.Members	325
0	District.Leadership.Team.Members	326
0.676056338028169	District.Leadership.Team.Members	327
0.352941176470588	District.Leadership.Team.Members	328
0.72	District.Leadership.Team.Members	329
