group	y
1	-25.3
2	-15.3
3	-7.3
4	-30.3
5	-27.3
6	-4.3
7	-29.3
8	-3.3
9	-19.3
10	-2.3
11	-9.3
12	-6.3
13	-12.3
14	-18.3
15	-11.3
16	-23.3
17	-28.3
18	-20.3
19	-16.3
20	-8.3
21	-17.3
22	-10.3
23	-22.3
24	-21.3
25	-24.3
26	-14.3
27	-1.3
28	-13.3
29	-26.3
30	-5.3
