x	y	label	showSelected1	group
2	14	Building.Leadership.Team.Members	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	15	Building.Leadership.Team.Members	Interaction.Type_Virtual	28
2	4	Building.Leadership.Team.Members	Interaction.Type_In-person	29
2	21	Building.Leadership.Team.Members	Interaction.Type_In-person and virtual	30
2	21	Building.Leadership.Team.Members	Interaction.Type_Phone	31
2	13	Building.Leadership.Team.Members	Interaction.Type_Unknown	32
2	8	Building.level.Educators	District.Leadership.Team.Members	1
2	10	Building.level.Educators	District.Contact.Person	2
2	2	Building.level.Educators	Building.Leadership.Team.Members	3
2	27	Building.level.Educators	Other.District.Administrators	4
2	2	Building.level.Educators	Other.Building.Administrators	5
2	1	Building.level.Educators	Building.level.Educators	6
2	6	Building.level.Educators	RPDC.Director	7
2	21	Building.level.Educators	Area.Supervisor	8
2	10	Building.level.Educators	Parents	9
2	27	Building.level.Educators	Collaborative.teams	10
2	5	Building.level.Educators	Common.formative.assessment	11
2	22	Building.level.Educators	Data.based.decision.making	12
2	3	Building.level.Educators	Effective.teaching.learning.practices	13
2	7	Building.level.Educators	Instructional.Leadership	14
2	21	Building.level.Educators	School.based.implementation.coaching	15
2	15	Building.level.Educators	Collective.teacher.efficacy	16
2	5	Building.level.Educators	MMD.DCI.expectations.logistics.DESE.specifics	17
2	15	Building.level.Educators	Alignment.and.systems.planning	18
2	17	Building.level.Educators	Practice.profiles	19
2	15	Building.level.Educators	Self.assessment.practice.profile..SAPP.	20
2	6	Building.level.Educators	Learning.module.materials..i.e..power.points..handouts.	21
2	13	Building.level.Educators	DESE.virtual.learning.platform	22
2	4	Building.level.Educators	Review.of.CFA.data	23
2	5	Building.level.Educators	CWIS	24
2	15	Building.level.Educators	Distance.Learning	25
2	11	Building.level.Educators	Virtual.Learning.Modules.and.or.PowerPoints	26
2	7	Building.level.Educators	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	13	Building.level.Educators	Interaction.Type_Virtual	28
2	3	Building.level.Educators	Interaction.Type_In-person	29
2	14	Building.level.Educators	Interaction.Type_In-person and virtual	30
2	12	Building.level.Educators	Interaction.Type_Phone	31
2	14	Building.level.Educators	Interaction.Type_Unknown	32
2	7	CWIS	District.Leadership.Team.Members	1
2	2	CWIS	District.Contact.Person	2
2	14	CWIS	Building.Leadership.Team.Members	3
2	14	CWIS	Other.District.Administrators	4
2	13	CWIS	Other.Building.Administrators	5
2	5	CWIS	Building.level.Educators	6
2	8	CWIS	RPDC.Director	7
2	4	CWIS	Area.Supervisor	8
2	27	CWIS	Parents	9
2	20	CWIS	Collaborative.teams	10
2	13	CWIS	Common.formative.assessment	11
2	30	CWIS	Data.based.decision.making	12
2	10	CWIS	Effective.teaching.learning.practices	13
2	16	CWIS	Instructional.Leadership	14
2	19	CWIS	School.based.implementation.coaching	15
2	16	CWIS	Collective.teacher.efficacy	16
2	2	CWIS	MMD.DCI.expectations.logistics.DESE.specifics	17
2	4	CWIS	Alignment.and.systems.planning	18
2	7	CWIS	Practice.profiles	19
2	2	CWIS	Self.assessment.practice.profile..SAPP.	20
2	24	CWIS	Learning.module.materials..i.e..power.points..handouts.	21
2	4	CWIS	DESE.virtual.learning.platform	22
2	15	CWIS	Review.of.CFA.data	23
2	1	CWIS	CWIS	24
2	25	CWIS	Distance.Learning	25
2	17	CWIS	Virtual.Learning.Modules.and.or.PowerPoints	26
2	27	CWIS	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	4	CWIS	Interaction.Type_Virtual	28
2	2	CWIS	Interaction.Type_In-person	29
2	5	CWIS	Interaction.Type_In-person and virtual	30
2	3	CWIS	Interaction.Type_Phone	31
2	9	CWIS	Interaction.Type_Unknown	32
2	15	Collaborative.teams	District.Leadership.Team.Members	1
2	17	Collaborative.teams	District.Contact.Person	2
2	6	Collaborative.teams	Building.Leadership.Team.Members	3
2	21	Collaborative.teams	Other.District.Administrators	4
2	24	Collaborative.teams	Other.Building.Administrators	5
2	28	Collaborative.teams	Building.level.Educators	6
2	23	Collaborative.teams	RPDC.Director	7
2	20	Collaborative.teams	Area.Supervisor	8
2	6	Collaborative.teams	Parents	9
2	1	Collaborative.teams	Collaborative.teams	10
2	3	Collaborative.teams	Common.formative.assessment	11
2	2	Collaborative.teams	Data.based.decision.making	12
2	14	Collaborative.teams	Effective.teaching.learning.practices	13
2	6	Collaborative.teams	Instructional.Leadership	14
2	5	Collaborative.teams	School.based.implementation.coaching	15
2	4	Collaborative.teams	Collective.teacher.efficacy	16
2	27	Collaborative.teams	MMD.DCI.expectations.logistics.DESE.specifics	17
2	20	Collaborative.teams	Alignment.and.systems.planning	18
2	8	Collaborative.teams	Practice.profiles	19
2	12	Collaborative.teams	Self.assessment.practice.profile..SAPP.	20
2	17	Collaborative.teams	Learning.module.materials..i.e..power.points..handouts.	21
2	15	Collaborative.teams	DESE.virtual.learning.platform	22
2	9	Collaborative.teams	Review.of.CFA.data	23
2	24	Collaborative.teams	CWIS	24
2	8	Collaborative.teams	Distance.Learning	25
2	20	Collaborative.teams	Virtual.Learning.Modules.and.or.PowerPoints	26
2	20	Collaborative.teams	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	25	Collaborative.teams	Interaction.Type_Virtual	28
2	13	Collaborative.teams	Interaction.Type_In-person	29
2	29	Collaborative.teams	Interaction.Type_In-person and virtual	30
2	20	Collaborative.teams	Interaction.Type_Phone	31
2	4	Collaborative.teams	Interaction.Type_Unknown	32
2	25	Collective.teacher.efficacy	District.Leadership.Team.Members	1
2	25	Collective.teacher.efficacy	District.Contact.Person	2
2	24	Collective.teacher.efficacy	Building.Leadership.Team.Members	3
2	24	Collective.teacher.efficacy	Other.District.Administrators	4
2	28	Collective.teacher.efficacy	Other.Building.Administrators	5
2	21	Collective.teacher.efficacy	Building.level.Educators	6
2	19	Collective.teacher.efficacy	RPDC.Director	7
