group	fill	y	ymin	ymax	colour
1	#FFF2ED	19	18.5	19.5	#FFF2ED
2	#FFEFE8	16	15.5	16.5	#FFEFE8
3	#FFEDE6	15	14.5	15.5	#FFEDE6
4	#FFDFD4	6	5.5	6.5	#FFDFD4
5	#FFF6F3	24	23.5	24.5	#FFF6F3
6	#FFEFE9	17	16.5	17.5	#FFEFE9
7	#FFECE4	14	13.5	14.5	#FFECE4
8	#FFE8E0	9	8.5	9.5	#FFE8E0
9	#FFC3AE	3	2.5	3.5	#FFC3AE
10	#FDFBFF	30	29.5	30.5	#FDFBFF
11	#FFFBF9	29	28.5	29.5	#FFFBF9
12	#FFF6F2	22	21.5	22.5	#FFF6F2
13	#FFE9E0	10	9.5	10.5	#FFE9E0
14	#FFEAE2	13	12.5	13.5	#FFEAE2
15	#FFE9E1	12	11.5	12.5	#FFE9E1
16	#F9F4FF	23	22.5	23.5	#F9F4FF
17	#F5EDFF	18	17.5	18.5	#F5EDFF
18	#F9F4FF	25	24.5	25.5	#F9F4FF
19	#FFE9E1	11	10.5	11.5	#FFE9E1
20	#FF0000	1	0.5	1.5	#FF0000
21	#FFF6F3	26	25.5	26.5	#FFF6F3
22	#FFF6F2	21	20.5	21.5	#FFF6F2
23	#FFE3D9	7	6.5	7.5	#FFE3D9
24	#F8F3FF	20	19.5	20.5	#F8F3FF
25	#FFC1AC	2	1.5	2.5	#FFC1AC
26	#FFF8F6	27	26.5	27.5	#FFF8F6
27	#FCF9FF	28	27.5	28.5	#FCF9FF
28	#FFE3D9	8	7.5	8.5	#FFE3D9
29	#FFDBCE	5	4.5	5.5	#FFDBCE
30	#FFD1C2	4	3.5	4.5	#FFD1C2
