group	fill	y	ymin	ymax	colour
1	#FFF5F1	19	18.5	19.5	#FFF5F1
2	#FCFAFF	29	28.5	29.5	#FCFAFF
3	#FFD1C1	4	3.5	4.5	#FFD1C1
4	#FFFAF8	27	26.5	27.5	#FFFAF8
5	#F9F4FF	20	19.5	20.5	#F9F4FF
6	#FF0000	1	0.5	1.5	#FF0000
7	#FFD7C9	5	4.5	5.5	#FFD7C9
8	#FFBDA8	3	2.5	3.5	#FFBDA8
9	#FFE0D5	9	8.5	9.5	#FFE0D5
10	#FFA98E	2	1.5	2.5	#FFA98E
11	#FFE4DB	11	10.5	11.5	#FFE4DB
12	#EFE4FF	12	11.5	12.5	#EFE4FF
13	#FFEAE2	13	12.5	13.5	#FFEAE2
14	#FFEEE7	15	14.5	15.5	#FFEEE7
15	#FFDDD1	7	6.5	7.5	#FFDDD1
16	#FFFAF8	26	25.5	26.5	#FFFAF8
17	#FFEAE2	14	13.5	14.5	#FFEAE2
18	#FEFDFF	30	29.5	30.5	#FEFDFF
19	#FBF8FF	25	24.5	25.5	#FBF8FF
20	#FFEFE9	17	16.5	17.5	#FFEFE9
21	#FCF9FF	28	27.5	28.5	#FCF9FF
22	#FFF9F7	23	22.5	23.5	#FFF9F7
23	#FFF6F3	21	20.5	21.5	#FFF6F3
24	#FFF1EB	18	17.5	18.5	#FFF1EB
25	#FFE0D4	8	7.5	8.5	#FFE0D4
26	#FFF9F7	24	23.5	24.5	#FFF9F7
27	#FFEFE9	16	15.5	16.5	#FFEFE9
28	#FFD8CB	6	5.5	6.5	#FFD8CB
29	#FFE1D7	10	9.5	10.5	#FFE1D7
30	#FAF6FF	22	21.5	22.5	#FAF6FF
