x	y	tooltip	PANEL
0	1	mean = 0	1
0	2	mean = 0	1
0	3	mean = 0	1
0	4	mean = 0	1
0	5	mean = 0	1
0	6	mean = 0	1
0	7	mean = 0	1
0	8	mean = 0	1
0	9	mean = 0	1
0	10	mean = 0	1
0	11	mean = 0	1
0	12	mean = 0	1
0	13	mean = 0	1
0	14	mean = 0	1
0	15	mean = 0	1
0	16	mean = 0	1
0.000607836755162128	1	mean = 0.000607836755162128	2
0.000321504011353523	1	mean = 0.000321504011353523	3
0.00258453015701731	1	mean = 0.00258453015701731	4
-0.00055512384765451	2	mean = -0.00055512384765451	4
-0.00584041565475051	2	mean = -0.00584041565475051	5
-0.00352849465019241	1	mean = -0.00352849465019241	5
-0.00120480407499077	3	mean = -0.00120480407499077	5
0.00389264042950428	4	mean = 0.00389264042950428	5
-0.00355289537095465	1	mean = -0.00355289537095465	6
0.0083702450517756	1	mean = 0.0083702450517756	7
-0.00556290539831122	1	mean = -0.00556290539831122	8
0.0129699352231437	2	mean = 0.0129699352231437	8
-0.038575551965214	1	mean = -0.038575551965214	9
0.021218449035506	2	mean = 0.021218449035506	9
