group	fill	y	ymin	ymax	colour
1	#FFF4F0	16	15.5	16.5	#FFF4F0
2	#FFFDFC	25	24.5	25.5	#FFFDFC
3	#FFD8CA	4	3.5	4.5	#FFD8CA
4	#FBF8FF	22	21.5	22.5	#FBF8FF
5	#FFFFFF	30	29.5	30.5	#FFFFFF
6	#FFA98E	2	1.5	2.5	#FFA98E
7	#FFDCD0	8	7.5	8.5	#FFDCD0
8	#FFD0BF	3	2.5	3.5	#FFD0BF
9	#FFE9E1	11	10.5	11.5	#FFE9E1
10	#FF0000	1	0.5	1.5	#FF0000
11	#FFEAE3	12	11.5	12.5	#FFEAE3
12	#F4ECFF	13	12.5	13.5	#F4ECFF
13	#FFF1EC	14	13.5	14.5	#FFF1EC
14	#FFF2ED	15	14.5	15.5	#FFF2ED
15	#FFD9CB	5	4.5	5.5	#FFD9CB
16	#FFFEFD	28	27.5	28.5	#FFFEFD
17	#FFFAF8	23	22.5	23.5	#FFFAF8
18	#FFF8F5	20	19.5	20.5	#FFF8F5
19	#FBF8FF	21	20.5	21.5	#FBF8FF
20	#FDFBFF	24	23.5	24.5	#FDFBFF
21	#FFFEFE	29	28.5	29.5	#FFFEFE
22	#FFF6F2	17	16.5	17.5	#FFF6F2
23	#FFF7F4	18	17.5	18.5	#FFF7F4
24	#FFF8F5	19	18.5	19.5	#FFF8F5
25	#FFE8DF	10	9.5	10.5	#FFE8DF
26	#FEFCFF	26	25.5	26.5	#FEFCFF
27	#FFE3D9	9	8.5	9.5	#FFE3D9
28	#FFDACD	6	5.5	6.5	#FFDACD
29	#FFDCD0	7	6.5	7.5	#FFDCD0
30	#FEFDFF	27	26.5	27.5	#FEFDFF
