group	y
1	-12.3
2	-24.3
3	-7.3
4	-13.3
5	-18.3
6	-2.3
7	-9.3
8	-5.3
9	-8.3
10	-1.3
11	-14.3
12	-20.3
13	-19.3
14	-16.3
15	-4.3
16	-30.3
17	-25.3
18	-29.3
19	-26.3
20	-22.3
21	-28.3
22	-15.3
23	-23.3
24	-21.3
25	-11.3
26	-27.3
27	-3.3
28	-17.3
29	-6.3
30	-10.3
