group	fill	y	ymin	ymax	colour
1	#FFD3C4	8	7.5	8.5	#FFD3C4
2	#FFEBE3	18	17.5	18.5	#FFEBE3
3	#FFEBE4	19	18.5	19.5	#FFEBE4
4	#EBDCFF	15	14.5	15.5	#EBDCFF
5	#FFA388	2	1.5	2.5	#FFA388
6	#FFE1D7	12	11.5	12.5	#FFE1D7
7	#FFECE6	20	19.5	20.5	#FFECE6
8	#FBF7FF	27	26.5	27.5	#FBF7FF
9	#FFA488	3	2.5	3.5	#FFA488
10	#FFDCD0	10	9.5	10.5	#FFDCD0
11	#FFF3EE	24	23.5	24.5	#FFF3EE
12	#FFD2C3	7	6.5	7.5	#FFD2C3
13	#FFC4B0	5	4.5	5.5	#FFC4B0
14	#FFE3D9	16	15.5	16.5	#FFE3D9
15	#FEFDFF	29	28.5	29.5	#FEFDFF
16	#E8D8FF	11	10.5	11.5	#E8D8FF
17	#FEFCFF	28	27.5	28.5	#FEFCFF
18	#EEE1FF	17	16.5	17.5	#EEE1FF
19	#F2E8FF	21	20.5	21.5	#F2E8FF
20	#FFDBCE	9	8.5	9.5	#FFDBCE
21	#FFAA90	4	3.5	4.5	#FFAA90
22	#F9F4FF	25	24.5	25.5	#F9F4FF
23	#FFE2D7	13	12.5	13.5	#FFE2D7
24	#FFF8F5	26	25.5	26.5	#FFF8F5
25	#FFC4B1	6	5.5	6.5	#FFC4B1
26	#FFFFFF	30	29.5	30.5	#FFFFFF
27	#F5EEFF	22	21.5	22.5	#F5EEFF
28	#FFE2D8	14	13.5	14.5	#FFE2D8
29	#FF0000	1	0.5	1.5	#FF0000
30	#FFF2ED	23	22.5	23.5	#FFF2ED
