group	fill	y	ymin	ymax	colour
1	#FFFAF8	18	17.5	18.5	#FFFAF8
2	#FEFDFF	30	29.5	30.5	#FEFDFF
3	#FFF7F4	13	12.5	13.5	#FFF7F4
4	#FAF5FF	14	13.5	14.5	#FAF5FF
5	#F7F0FF	9	8.5	9.5	#F7F0FF
6	#FFEAE2	4	3.5	4.5	#FFEAE2
7	#FCF9FF	20	19.5	20.5	#FCF9FF
8	#FFFDFD	29	28.5	29.5	#FFFDFD
9	#F5EEFF	8	7.5	8.5	#F5EEFF
10	#FFFAF8	21	20.5	21.5	#FFFAF8
11	#FCF9FF	22	21.5	22.5	#FCF9FF
12	#E7D6FF	3	2.5	3.5	#E7D6FF
13	#FAF7FF	15	14.5	15.5	#FAF7FF
14	#FFFBFA	23	22.5	23.5	#FFFBFA
15	#FDFCFF	26	25.5	26.5	#FDFCFF
16	#FFF1EC	7	6.5	7.5	#FFF1EC
17	#FF0000	1	0.5	1.5	#FF0000
18	#FDFBFF	25	24.5	25.5	#FDFBFF
19	#FDFBFF	24	23.5	24.5	#FDFBFF
20	#F5EDFF	6	5.5	6.5	#F5EDFF
21	#FDFCFF	27	26.5	27.5	#FDFCFF
22	#FFF9F7	17	16.5	17.5	#FFF9F7
23	#FFEAE3	5	4.5	5.5	#FFEAE3
24	#FFF3EF	10	9.5	10.5	#FFF3EF
25	#F7F2FF	11	10.5	11.5	#F7F2FF
26	#FFDACD	2	1.5	2.5	#FFDACD
27	#FAF7FF	16	15.5	16.5	#FAF7FF
28	#FFFAF8	19	18.5	19.5	#FFFAF8
29	#FEFCFF	28	27.5	28.5	#FEFCFF
30	#F9F4FF	12	11.5	12.5	#F9F4FF
