group	fill	y	ymin	ymax	colour
1	#FFF6F3	25	24.5	25.5	#FFF6F3
2	#FBF7FF	27	26.5	27.5	#FBF7FF
3	#FFE1D6	10	9.5	10.5	#FFE1D6
4	#FFE9E1	17	16.5	17.5	#FFE9E1
5	#FFDED3	7	6.5	7.5	#FFDED3
6	#FFE0D4	8	7.5	8.5	#FFE0D4
7	#FFE8E0	16	15.5	16.5	#FFE8E0
8	#FFFCFB	29	28.5	29.5	#FFFCFB
9	#FFC8B6	4	3.5	4.5	#FFC8B6
10	#FFE8DF	15	14.5	15.5	#FFE8DF
11	#FFF1EB	20	19.5	20.5	#FFF1EB
12	#FFE1D6	9	8.5	9.5	#FFE1D6
13	#FFDACD	6	5.5	6.5	#FFDACD
14	#FFD5C6	5	4.5	5.5	#FFD5C6
15	#FFF2ED	21	20.5	21.5	#FFF2ED
16	#ECDEFF	12	11.5	12.5	#ECDEFF
17	#F7F2FF	23	22.5	23.5	#F7F2FF
18	#EDE0FF	13	12.5	13.5	#EDE0FF
19	#FFFEFE	30	29.5	30.5	#FFFEFE
20	#FFC1AC	2	1.5	2.5	#FFC1AC
21	#FFE7DE	14	13.5	14.5	#FFE7DE
22	#FFF7F3	26	25.5	26.5	#FFF7F3
23	#FFE3DA	11	10.5	11.5	#FFE3DA
24	#FDFBFF	28	27.5	28.5	#FDFBFF
25	#FF0000	1	0.5	1.5	#FF0000
26	#FFF5F2	24	23.5	24.5	#FFF5F2
27	#F7F0FF	22	21.5	22.5	#F7F0FF
28	#FFEAE3	18	17.5	18.5	#FFEAE3
29	#FFC4B1	3	2.5	3.5	#FFC4B1
30	#FFEEE7	19	18.5	19.5	#FFEEE7
