x	y	label	showSelected1	showSelected2	group
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	District.Leadership.Team.Members	13
0.5	0	District.Contact.Person	District.Contact.Person	District.Leadership.Team.Members	45
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	District.Leadership.Team.Members	77
0.5	0	Other.District.Administrators	Other.District.Administrators	District.Leadership.Team.Members	109
0.5	0	Other.Building.Administrators	Other.Building.Administrators	District.Leadership.Team.Members	141
0.5	0	Building.level.Educators	Building.level.Educators	District.Leadership.Team.Members	173
0.5	0	RPDC.Director	RPDC.Director	District.Leadership.Team.Members	205
0.5	0	Area.Supervisor	Area.Supervisor	District.Leadership.Team.Members	237
0.1	0	Parents	Parents	District.Leadership.Team.Members	269
0.5	0	Collaborative.teams	Collaborative.teams	District.Leadership.Team.Members	301
0.5	0	Common.formative.assessment	Common.formative.assessment	District.Leadership.Team.Members	333
0.5	0	Data.based.decision.making	Data.based.decision.making	District.Leadership.Team.Members	365
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	District.Leadership.Team.Members	397
0.5	0	Instructional.Leadership	Instructional.Leadership	District.Leadership.Team.Members	429
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	District.Leadership.Team.Members	461
0.5	0	Collective.teacher.efficacy	Collective.teacher.efficacy	District.Leadership.Team.Members	493
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	District.Leadership.Team.Members	525
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	District.Leadership.Team.Members	557
0.5	0	Practice.profiles	Practice.profiles	District.Leadership.Team.Members	589
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	District.Leadership.Team.Members	621
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	District.Leadership.Team.Members	653
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	District.Leadership.Team.Members	685
0.5	0	Review.of.CFA.data	Review.of.CFA.data	District.Leadership.Team.Members	717
