group	fill	y	ymin	ymax	colour
1	#FFEDE6	4	3.5	4.5	#FFEDE6
2	#FFFEFD	28	27.5	28.5	#FFFEFD
3	#FFFCFB	24	23.5	24.5	#FFFCFB
4	#F8F3FF	10	9.5	10.5	#F8F3FF
5	#FFFDFD	27	26.5	27.5	#FFFDFD
6	#FFF1EB	6	5.5	6.5	#FFF1EB
7	#FBF8FF	18	17.5	18.5	#FBF8FF
8	#FAF7FF	16	15.5	16.5	#FAF7FF
9	#FEFEFF	29	28.5	29.5	#FEFEFF
10	#FFF8F5	13	12.5	13.5	#FFF8F5
11	#FCF9FF	19	18.5	19.5	#FCF9FF
12	#F6EEFF	7	6.5	7.5	#F6EEFF
13	#FCFAFF	20	19.5	20.5	#FCFAFF
14	#FFF7F4	12	11.5	12.5	#FFF7F4
15	#FFF0EB	5	4.5	5.5	#FFF0EB
16	#F9F4FF	11	10.5	11.5	#F9F4FF
17	#FFF3EF	8	7.5	8.5	#FFF3EF
18	#FDFCFF	25	24.5	25.5	#FDFCFF
19	#FDFBFF	23	22.5	23.5	#FDFBFF
20	#F8F3FF	9	8.5	9.5	#F8F3FF
21	#FFFCFA	22	21.5	22.5	#FFFCFA
22	#FFFFFE	30	29.5	30.5	#FFFFFE
23	#FFE8E0	2	1.5	2.5	#FFE8E0
24	#FF0000	1	0.5	1.5	#FF0000
25	#FDFBFF	21	20.5	21.5	#FDFBFF
26	#FFEBE4	3	2.5	3.5	#FFEBE4
27	#FBF7FF	17	16.5	17.5	#FBF7FF
28	#FEFCFF	26	25.5	26.5	#FEFCFF
29	#FFF8F5	14	13.5	14.5	#FFF8F5
30	#FAF6FF	15	14.5	15.5	#FAF6FF
