group	fill	y	tooltip	ymin	ymax	colour
1	#FFEAE2	-12	0.111883170062285	-12.5	-11.5	#FFEAE2
2	#FFF9F7	-24	0.0293282255189267	-24.5	-23.5	#FFF9F7
3	#FFE0D4	-7	0.164367830673061	-7.5	-6.5	#FFE0D4
4	#F1E7FF	-13	-0.102651228859963	-13.5	-12.5	#F1E7FF
5	#FFF1EC	-18	0.0745385983924745	-18.5	-17.5	#FFF1EC
6	#FFBBA5	-2	0.354080219286615	-2.5	-1.5	#FFBBA5
7	#FFE2D8	-9	0.152082986808709	-9.5	-8.5	#FFE2D8
8	#FFCAB7	-5	0.279137230700131	-5.5	-4.5	#FFCAB7
9	#FFE2D7	-8	0.153622561377718	-8.5	-7.5	#FFE2D7
10	#FF0000	-1	1	-1.5	-0.5	#FF0000
11	#F2E8FF	-14	-0.0985738264402561	-14.5	-13.5	#F2E8FF
12	#FFF8F5	-20	0.0370900355375174	-20.5	-19.5	#FFF8F5
13	#FFF1EC	-19	0.0724677975296329	-19.5	-18.5	#FFF1EC
14	#F4EBFF	-16	-0.0850103970779809	-16.5	-15.5	#F4EBFF
15	#FFC4B0	-4	0.30710194949212	-4.5	-3.5	#FFC4B0
16	#FFFFFF	-30	-0.00121698079963083	-30.5	-29.5	#FFFFFF
17	#FFFAF9	-25	0.0245084873042871	-25.5	-24.5	#FFFAF9
18	#FFFCFB	-29	0.0149888252718107	-29.5	-28.5	#FFFCFB
19	#FFFAF9	-26	0.0241760026584843	-26.5	-25.5	#FFFAF9
20	#FFF9F7	-22	0.0322567415796808	-22.5	-21.5	#FFF9F7
21	#FFFCFA	-28	0.0175890433842311	-28.5	-27.5	#FFFCFA
22	#FFEFE8	-15	0.086374948368235	-15.5	-14.5	#FFEFE8
23	#FFF9F7	-23	0.0302128505829212	-23.5	-22.5	#FFF9F7
24	#FAF7FF	-21	-0.0345629363664592	-21.5	-20.5	#FAF7FF
25	#FFE9E2	-11	0.1133283904368	-11.5	-10.5	#FFE9E2
26	#FCFAFF	-27	-0.0198289598912718	-27.5	-26.5	#FCFAFF
27	#FFC3AF	-3	0.313419082548375	-3.5	-2.5	#FFC3AF
28	#FFEFEA	-17	0.0818463991920621	-17.5	-16.5	#FFEFEA
29	#FFD9CC	-6	0.198050596963412	-6.5	-5.5	#FFD9CC
30	#ECDDFF	-10	-0.142816194361652	-10.5	-9.5	#ECDDFF
