group	fill	y	ymin	ymax	colour
1	#FFECE5	16	15.5	16.5	#FFECE5
2	#FFF8F6	22	21.5	22.5	#FFF8F6
3	#FFDFD4	9	8.5	9.5	#FFDFD4
4	#FFF8F5	21	20.5	21.5	#FFF8F5
5	#FAF6FF	19	18.5	19.5	#FAF6FF
6	#FFD8CB	5	4.5	5.5	#FFD8CB
7	#FFCAB8	2	1.5	2.5	#FFCAB8
8	#FFE5DC	12	11.5	12.5	#FFE5DC
9	#FFDCD0	8	7.5	8.5	#FFDCD0
10	#FFDACD	7	6.5	7.5	#FFDACD
11	#FFD9CB	6	5.5	6.5	#FFD9CB
12	#FFFAF8	24	23.5	24.5	#FFFAF8
13	#FFECE5	15	14.5	15.5	#FFECE5
14	#FFD1C1	3	2.5	3.5	#FFD1C1
15	#FFD2C2	4	3.5	4.5	#FFD2C2
16	#FFFEFF	29	28.5	29.5	#FFFEFF
17	#FFFAF8	25	24.5	25.5	#FFFAF8
18	#F6EEFF	18	17.5	18.5	#F6EEFF
19	#FCF9FF	26	25.5	26.5	#FCF9FF
20	#FFE3D9	11	10.5	11.5	#FFE3D9
21	#FFE7DE	13	12.5	13.5	#FFE7DE
22	#F5EEFF	17	16.5	17.5	#F5EEFF
23	#FFF9F7	23	22.5	23.5	#FFF9F7
24	#FEFCFF	27	26.5	27.5	#FEFCFF
25	#FFEAE3	14	13.5	14.5	#FFEAE3
26	#FFFFFF	30	29.5	30.5	#FFFFFF
27	#FFFEFE	28	27.5	28.5	#FFFEFE
28	#FF0000	1	0.5	1.5	#FF0000
29	#FFE2D8	10	9.5	10.5	#FFE2D8
30	#FFF8F5	20	19.5	20.5	#FFF8F5
