group	fill	y	ymin	ymax	colour
1	#F5EDFF	20	19.5	20.5	#F5EDFF
2	#FDFCFF	27	26.5	27.5	#FDFCFF
3	#FFD2C2	4	3.5	4.5	#FFD2C2
4	#FFD1C1	3	2.5	3.5	#FFD1C1
5	#DEC7FF	2	1.5	2.5	#DEC7FF
6	#FFE7DF	13	12.5	13.5	#FFE7DF
7	#FFFFFF	30	29.5	30.5	#FFFFFF
8	#FFF0EA	19	18.5	19.5	#FFF0EA
9	#E4D0FF	7	6.5	7.5	#E4D0FF
10	#FFF0EB	21	20.5	21.5	#FFF0EB
11	#F3EBFF	17	16.5	17.5	#F3EBFF
12	#C7A5FF	1	0.5	1.5	#C7A5FF
13	#E5D3FF	8	7.5	8.5	#E5D3FF
14	#FFEDE7	15	14.5	15.5	#FFEDE7
15	#FFF2ED	22	21.5	22.5	#FFF2ED
16	#FFD5C6	6	5.5	6.5	#FFD5C6
17	#FFE8E0	14	13.5	14.5	#FFE8E0
18	#FFEFE9	18	17.5	18.5	#FFEFE9
19	#F3EAFF	16	15.5	16.5	#F3EAFF
20	#FBF8FF	25	24.5	25.5	#FBF8FF
21	#E0CBFF	5	4.5	5.5	#E0CBFF
22	#FFE5DB	12	11.5	12.5	#FFE5DB
23	#FFFBFA	26	25.5	26.5	#FFFBFA
24	#FFFFFF	29	28.5	29.5	#FFFFFF
25	#F8F2FF	23	22.5	23.5	#F8F2FF
26	#FAF6FF	24	23.5	24.5	#FAF6FF
27	#FFE2D7	10	9.5	10.5	#FFE2D7
28	#FFFDFD	28	27.5	28.5	#FFFDFD
29	#ECDEFF	11	10.5	11.5	#ECDEFF
30	#E6D5FF	9	8.5	9.5	#E6D5FF
