group	fill	y	ymin	ymax	colour
1	#FBF8FF	19	18.5	19.5	#FBF8FF
2	#FEFDFF	26	25.5	26.5	#FEFDFF
3	#FCFAFF	21	20.5	21.5	#FCFAFF
4	#F6EFFF	12	11.5	12.5	#F6EFFF
5	#E8D7FF	3	2.5	3.5	#E8D7FF
6	#FFFAF8	20	19.5	20.5	#FFFAF8
7	#F8F3FF	14	13.5	14.5	#F8F3FF
8	#FFFDFC	24	23.5	24.5	#FFFDFC
9	#F5EDFF	9	8.5	9.5	#F5EDFF
10	#FFFEFD	27	26.5	27.5	#FFFEFD
11	#FFFCFB	23	22.5	23.5	#FFFCFB
12	#EADBFF	5	4.5	5.5	#EADBFF
13	#E3D0FF	2	1.5	2.5	#E3D0FF
14	#FBF8FF	18	17.5	18.5	#FBF8FF
15	#FFF1EC	10	9.5	10.5	#FFF1EC
16	#FF0000	1	0.5	1.5	#FF0000
17	#FFF1EC	11	10.5	11.5	#FFF1EC
18	#FFEEE8	8	7.5	8.5	#FFEEE8
19	#F8F3FF	13	12.5	13.5	#F8F3FF
20	#F9F4FF	15	14.5	15.5	#F9F4FF
21	#EDE0FF	7	6.5	7.5	#EDE0FF
22	#FEFDFF	28	27.5	28.5	#FEFDFF
23	#FFFCFB	22	21.5	22.5	#FFFCFB
24	#F9F4FF	16	15.5	16.5	#F9F4FF
25	#ECDEFF	6	5.5	6.5	#ECDEFF
26	#FFFEFD	29	28.5	29.5	#FFFEFD
27	#FFFDFC	25	24.5	25.5	#FFFDFC
28	#FFFEFF	30	29.5	30.5	#FFFEFF
29	#E8D8FF	4	3.5	4.5	#E8D8FF
30	#FBF7FF	17	16.5	17.5	#FBF7FF
