fill	x	y	key	tooltip	clickSelects	showSelected1	group	xmin	xmax	ymin	ymax	colour	size
#DFC9FF	1	-3	CWIS	-0.230243213885995	CWIS	Interaction.Type_Phone	262	0.5	1.5	-3.5	-2.5	#DFC9FF	0
#F8F3FF	1	-8	CWIS	-0.0523306294031051	CWIS	Interaction.Type_Unknown	263	0.5	1.5	-8.5	-7.5	#F8F3FF	0
#E3CFFF	1	-4	CWIS	-0.203129832180712	CWIS	ETLP_avg	264	0.5	1.5	-4.5	-3.5	#E3CFFF	0
#FFE2D7	1	-12	Collaborative.teams	0.153830444914925	Collaborative.teams	District.Leadership.Team.Members	133	0.5	1.5	-12.5	-11.5	#FFE2D7	0
#FAF6FF	1	-26	Collaborative.teams	-0.0396588705189301	Collaborative.teams	District.Contact.Person	134	0.5	1.5	-26.5	-25.5	#FAF6FF	0
#FFD5C6	1	-7	Collaborative.teams	0.221553163493858	Collaborative.teams	Building.Leadership.Team.Members	135	0.5	1.5	-7.5	-6.5	#FFD5C6	0
#FFF5F1	1	-20	Collaborative.teams	0.0530309398056951	Collaborative.teams	Other.District.Administrators	136	0.5	1.5	-20.5	-19.5	#FFF5F1	0
#FFE9E1	1	-14	Collaborative.teams	0.1133941405621	Collaborative.teams	Other.Building.Administrators	137	0.5	1.5	-14.5	-13.5	#FFE9E1	0
#FFF9F7	1	-25	Collaborative.teams	0.0323236649971129	Collaborative.teams	Building.level.Educators	138	0.5	1.5	-25.5	-24.5	#FFF9F7	0
#FFFEFF	1	-28	Collaborative.teams	-0.00287373416010817	Collaborative.teams	RPDC.Director	139	0.5	1.5	-28.5	-27.5	#FFFEFF	0
#FDFBFF	1	-30	Collaborative.teams	-0.0185291646743784	Collaborative.teams	Area.Supervisor	140	0.5	1.5	-30.5	-29.5	#FDFBFF	0
#FDFBFF	1	-22	Collaborative.teams	-0.0150758626768333	Collaborative.teams	Parents	141	0.5	1.5	-22.5	-21.5	#FDFBFF	0
#FF0000	1	-1	Collaborative.teams	1	Collaborative.teams	Collaborative.teams	142	0.5	1.5	-1.5	-0.5	#FF0000	0
#FFB69F	1	-2	Collaborative.teams	0.37750568059496	Collaborative.teams	Common.formative.assessment	143	0.5	1.5	-2.5	-1.5	#FFB69F	0
#FFBBA5	1	-2	Collaborative.teams	0.354080219286615	Collaborative.teams	Data.based.decision.making	144	0.5	1.5	-2.5	-1.5	#FFBBA5	0
#FAF6FF	1	-23	Collaborative.teams	-0.0363027534983905	Collaborative.teams	Effective.teaching.learning.practices	145	0.5	1.5	-23.5	-22.5	#FAF6FF	0
#FFDED2	1	-7	Collaborative.teams	0.172786696065562	Collaborative.teams	Instructional.Leadership	146	0.5	1.5	-7.5	-6.5	#FFDED2	0
#FFF2ED	1	-17	Collaborative.teams	0.0691023749682452	Collaborative.teams	School.based.implementation.coaching	147	0.5	1.5	-17.5	-16.5	#FFF2ED	0
#FFD8CA	1	-3	Collaborative.teams	0.205513664563149	Collaborative.teams	Collective.teacher.efficacy	148	0.5	1.5	-3.5	-2.5	#FFD8CA	0
#FFF9F7	1	-26	Collaborative.teams	0.031304888933182	Collaborative.teams	MMD.DCI.expectations.logistics.DESE.specifics	149	0.5	1.5	-26.5	-25.5	#FFF9F7	0
#FFFBF9	1	-25	Collaborative.teams	0.0229592736709366	Collaborative.teams	Alignment.and.systems.planning	150	0.5	1.5	-25.5	-24.5	#FFFBF9	0
#FFECE5	1	-14	Collaborative.teams	0.0984982607414517	Collaborative.teams	Practice.profiles	151	0.5	1.5	-14.5	-13.5	#FFECE5	0
#FFD6C7	1	-11	Collaborative.teams	0.216189071115078	Collaborative.teams	Self.assessment.practice.profile..SAPP.	152	0.5	1.5	-11.5	-10.5	#FFD6C7	0
#FFF0EA	1	-18	Collaborative.teams	0.0786178757998256	Collaborative.teams	Learning.module.materials..i.e..power.points..handouts.	153	0.5	1.5	-18.5	-17.5	#FFF0EA	0
#FFDFD3	1	-14	Collaborative.teams	0.168827496398207	Collaborative.teams	DESE.virtual.learning.platform	154	0.5	1.5	-14.5	-13.5	#FFDFD3	0
#FFE2D8	1	-4	Collaborative.teams	0.150441369977835	Collaborative.teams	Review.of.CFA.data	155	0.5	1.5	-4.5	-3.5	#FFE2D8	0
#FAF7FF	1	-28	Collaborative.teams	-0.0349601507731609	Collaborative.teams	CWIS	156	0.5	1.5	-28.5	-27.5	#FAF7FF	0
#FAF5FF	1	-24	Collaborative.teams	-0.040642018232116	Collaborative.teams	Distance.Learning	157	0.5	1.5	-24.5	-23.5	#FAF5FF	0
#ECDDFF	1	-10	Collaborative.teams	-0.143167676407075	Collaborative.teams	Virtual.Learning.Modules.and.or.PowerPoints	158	0.5	1.5	-10.5	-9.5	#ECDDFF	0
#FEFDFF	1	-30	Collaborative.teams	-0.00957121372216322	Collaborative.teams	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	159	0.5	1.5	-30.5	-29.5	#FEFDFF	0
#FBF9FF	1	-26	Collaborative.teams	-0.0273190408144202	Collaborative.teams	Interaction.Type_Virtual	160	0.5	1.5	-26.5	-25.5	#FBF9FF	0
#FFE3D9	1	-13	Collaborative.teams	0.144965360579874	Collaborative.teams	Interaction.Type_In-person	161	0.5	1.5	-13.5	-12.5	#FFE3D9	0
#FBF7FF	1	-24	Collaborative.teams	-0.0334816787849168	Collaborative.teams	Interaction.Type_In-person and virtual	162	0.5	1.5	-24.5	-23.5	#FBF7FF	0
#FFFEFE	1	-28	Collaborative.teams	0.00490767032177342	Collaborative.teams	Interaction.Type_Phone	163	0.5	1.5	-28.5	-27.5	#FFFEFE	0
#FFF2ED	1	-6	Collaborative.teams	0.0670519310757609	Collaborative.teams	Interaction.Type_Unknown	164	0.5	1.5	-6.5	-5.5	#FFF2ED	0
#F4EBFF	1	-12	Collaborative.teams	-0.0832071929896544	Collaborative.teams	ETLP_avg	165	0.5	1.5	-12.5	-11.5	#F4EBFF	0
#FFF4F0	1	-24	Collective.teacher.efficacy	0.0584728857368985	Collective.teacher.efficacy	District.Leadership.Team.Members	166	0.5	1.5	-24.5	-23.5	#FFF4F0	0
#FFF4F0	1	-23	Collective.teacher.efficacy	0.0586169975987172	Collective.teacher.efficacy	District.Contact.Person	167	0.5	1.5	-23.5	-22.5	#FFF4F0	0
#FFEFE9	1	-18	Collective.teacher.efficacy	0.0843892988893035	Collective.teacher.efficacy	Building.Leadership.Team.Members	168	0.5	1.5	-18.5	-17.5	#FFEFE9	0
#F7F1FF	1	-17	Collective.teacher.efficacy	-0.0595443323842398	Collective.teacher.efficacy	Other.District.Administrators	169	0.5	1.5	-17.5	-16.5	#F7F1FF	0
#FFEBE4	1	-15	Collective.teacher.efficacy	0.102343775177134	Collective.teacher.efficacy	Other.Building.Administrators	170	0.5	1.5	-15.5	-14.5	#FFEBE4	0
#FDFBFF	1	-26	Collective.teacher.efficacy	-0.0160839618102185	Collective.teacher.efficacy	Building.level.Educators	171	0.5	1.5	-26.5	-25.5	#FDFBFF	0
#FEFCFF	1	-25	Collective.teacher.efficacy	-0.0105886283947503	Collective.teacher.efficacy	RPDC.Director	172	0.5	1.5	-25.5	-24.5	#FEFCFF	0
#FFE8E0	1	-9	Collective.teacher.efficacy	0.119210988181553	Collective.teacher.efficacy	Area.Supervisor	173	0.5	1.5	-9.5	-8.5	#FFE8E0	0
#FAF6FF	1	-9	Collective.teacher.efficacy	-0.0381725893419828	Collective.teacher.efficacy	Parents	174	0.5	1.5	-9.5	-8.5	#FAF6FF	0
#FFD8CA	1	-6	Collective.teacher.efficacy	0.205513664563149	Collective.teacher.efficacy	Collaborative.teams	175	0.5	1.5	-6.5	-5.5	#FFD8CA	0
#FFF5F1	1	-21	Collective.teacher.efficacy	0.0534831894158356	Collective.teacher.efficacy	Common.formative.assessment	176	0.5	1.5	-21.5	-20.5	#FFF5F1	0
#FFE2D8	1	-9	Collective.teacher.efficacy	0.152082986808709	Collective.teacher.efficacy	Data.based.decision.making	177	0.5	1.5	-9.5	-8.5	#FFE2D8	0
#FFFBFA	1	-30	Collective.teacher.efficacy	0.0199463454488959	Collective.teacher.efficacy	Effective.teaching.learning.practices	178	0.5	1.5	-30.5	-29.5	#FFFBFA	0
#FFCCBB	1	-5	Collective.teacher.efficacy	0.264542810641075	Collective.teacher.efficacy	Instructional.Leadership	179	0.5	1.5	-5.5	-4.5	#FFCCBB	0
#FFE1D6	1	-6	Collective.teacher.efficacy	0.158405768032525	Collective.teacher.efficacy	School.based.implementation.coaching	180	0.5	1.5	-6.5	-5.5	#FFE1D6	0
#FF0000	1	-1	Collective.teacher.efficacy	1	Collective.teacher.efficacy	Collective.teacher.efficacy	181	0.5	1.5	-1.5	-0.5	#FF0000	0
#FFE9E1	1	-18	Collective.teacher.efficacy	0.114346383447697	Collective.teacher.efficacy	MMD.DCI.expectations.logistics.DESE.specifics	182	0.5	1.5	-18.5	-17.5	#FFE9E1	0
#FDFBFF	1	-26	Collective.teacher.efficacy	-0.0167050215179035	Collective.teacher.efficacy	Alignment.and.systems.planning	183	0.5	1.5	-26.5	-25.5	#FDFBFF	0
#FFF1EC	1	-18	Collective.teacher.efficacy	0.0738614993754793	Collective.teacher.efficacy	Practice.profiles	184	0.5	1.5	-18.5	-17.5	#FFF1EC	0
#FFFCFB	1	-31	Collective.teacher.efficacy	0.0169790906213614	Collective.teacher.efficacy	Self.assessment.practice.profile..SAPP.	185	0.5	1.5	-31.5	-30.5	#FFFCFB	0
#FFFBFA	1	-29	Collective.teacher.efficacy	0.0193038906114959	Collective.teacher.efficacy	Learning.module.materials..i.e..power.points..handouts.	186	0.5	1.5	-29.5	-28.5	#FFFBFA	0
#FFF7F4	1	-28	Collective.teacher.efficacy	0.0424954882759532	Collective.teacher.efficacy	DESE.virtual.learning.platform	187	0.5	1.5	-28.5	-27.5	#FFF7F4	0
#FFFFFE	1	-30	Collective.teacher.efficacy	0.00220570073532521	Collective.teacher.efficacy	Review.of.CFA.data	188	0.5	1.5	-30.5	-29.5	#FFFFFE	0
#FFF0EB	1	-21	Collective.teacher.efficacy	0.0777123202126007	Collective.teacher.efficacy	CWIS	189	0.5	1.5	-21.5	-20.5	#FFF0EB	0
#F9F4FF	1	-21	Collective.teacher.efficacy	-0.0483227913431189	Collective.teacher.efficacy	Distance.Learning	190	0.5	1.5	-21.5	-20.5	#F9F4FF	0
#F5ECFF	1	-26	Collective.teacher.efficacy	-0.078625452178521	Collective.teacher.efficacy	Virtual.Learning.Modules.and.or.PowerPoints	191	0.5	1.5	-26.5	-25.5	#F5ECFF	0
#FFF4EF	1	-10	Collective.teacher.efficacy	0.0598583746779931	Collective.teacher.efficacy	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	192	0.5	1.5	-10.5	-9.5	#FFF4EF	0
#F8F2FF	1	-20	Collective.teacher.efficacy	-0.0532399977252433	Collective.teacher.efficacy	Interaction.Type_Virtual	193	0.5	1.5	-20.5	-19.5	#F8F2FF	0
#FFF1EC	1	-26	Collective.teacher.efficacy	0.0710485796059899	Collective.teacher.efficacy	Interaction.Type_In-person	194	0.5	1.5	-26.5	-25.5	#FFF1EC	0
#F9F4FF	1	-21	Collective.teacher.efficacy	-0.0463320615182963	Collective.teacher.efficacy	Interaction.Type_In-person and virtual	195	0.5	1.5	-21.5	-20.5	#F9F4FF	0
#F9F4FF	1	-19	Collective.teacher.efficacy	-0.0455563201526044	Collective.teacher.efficacy	Interaction.Type_Phone	196	0.5	1.5	-19.5	-18.5	#F9F4FF	0
#FFFFFF	1	-31	Collective.teacher.efficacy	-0.00195765108039943	Collective.teacher.efficacy	Interaction.Type_Unknown	197	0.5	1.5	-31.5	-30.5	#FFFFFF	0
#FDFCFF	1	-28	Collective.teacher.efficacy	-0.0114846802714969	Collective.teacher.efficacy	ETLP_avg	198	0.5	1.5	-28.5	-27.5	#FDFCFF	0
#F5EDFF	1	-21	Common.formative.assessment	-0.0750395576750787	Common.formative.assessment	District.Leadership.Team.Members	199	0.5	1.5	-21.5	-20.5	#F5EDFF	0
#EEE1FF	1	-16	Common.formative.assessment	-0.129217036033065	Common.formative.assessment	District.Contact.Person	200	0.5	1.5	-16.5	-15.5	#EEE1FF	0
#FFEDE6	1	-15	Common.formative.assessment	0.0966121872739464	Common.formative.assessment	Building.Leadership.Team.Members	201	0.5	1.5	-15.5	-14.5	#FFEDE6	0
#FEFDFF	1	-30	Common.formative.assessment	-0.0100905471186578	Common.formative.assessment	Other.District.Administrators	202	0.5	1.5	-30.5	-29.5	#FEFDFF	0
#FFDACD	1	-4	Common.formative.assessment	0.193981096458159	Common.formative.assessment	Other.Building.Administrators	203	0.5	1.5	-4.5	-3.5	#FFDACD	0
#FFE1D6	1	-13	Common.formative.assessment	0.157341926840337	Common.formative.assessment	Building.level.Educators	204	0.5	1.5	-13.5	-12.5	#FFE1D6	0
#F9F4FF	1	-18	Common.formative.assessment	-0.0467015480671362	Common.formative.assessment	RPDC.Director	205	0.5	1.5	-18.5	-17.5	#F9F4FF	0
#FCF9FF	1	-27	Common.formative.assessment	-0.0248159691631905	Common.formative.assessment	Area.Supervisor	206	0.5	1.5	-27.5	-26.5	#FCF9FF	0
#F5EEFF	1	-4	Common.formative.assessment	-0.0735574727664989	Common.formative.assessment	Parents	207	0.5	1.5	-4.5	-3.5	#F5EEFF	0
#FFB69F	1	-2	Common.formative.assessment	0.37750568059496	Common.formative.assessment	Collaborative.teams	208	0.5	1.5	-2.5	-1.5	#FFB69F	0
#FF0000	1	-1	Common.formative.assessment	1	Common.formative.assessment	Common.formative.assessment	209	0.5	1.5	-1.5	-0.5	#FF0000	0
#FFCAB7	1	-5	Common.formative.assessment	0.279137230700131	Common.formative.assessment	Data.based.decision.making	210	0.5	1.5	-5.5	-4.5	#FFCAB7	0
#F7F1FF	1	-18	Common.formative.assessment	-0.0594161213891933	Common.formative.assessment	Effective.teaching.learning.practices	211	0.5	1.5	-18.5	-17.5	#F7F1FF	0
#FFE6DD	1	-9	Common.formative.assessment	0.13081933721033	Common.formative.assessment	Instructional.Leadership	212	0.5	1.5	-9.5	-8.5	#FFE6DD	0
#FFF7F4	1	-24	Common.formative.assessment	0.0411467234462862	Common.formative.assessment	School.based.implementation.coaching	213	0.5	1.5	-24.5	-23.5	#FFF7F4	0
#FFF5F1	1	-17	Common.formative.assessment	0.0534831894158356	Common.formative.assessment	Collective.teacher.efficacy	214	0.5	1.5	-17.5	-16.5	#FFF5F1	0
#FCFAFF	1	-29	Common.formative.assessment	-0.0226152302030656	Common.formative.assessment	MMD.DCI.expectations.logistics.DESE.specifics	215	0.5	1.5	-29.5	-28.5	#FCFAFF	0
#FDFCFF	1	-28	Common.formative.assessment	-0.012687030171335	Common.formative.assessment	Alignment.and.systems.planning	216	0.5	1.5	-28.5	-27.5	#FDFCFF	0
#FFF1EB	1	-17	Common.formative.assessment	0.0756457337370179	Common.formative.assessment	Practice.profiles	217	0.5	1.5	-17.5	-16.5	#FFF1EB	0
#FFF3EE	1	-25	Common.formative.assessment	0.0632893028113712	Common.formative.assessment	Self.assessment.practice.profile..SAPP.	218	0.5	1.5	-25.5	-24.5	#FFF3EE	0
#FFE7DE	1	-10	Common.formative.assessment	0.128057924265174	Common.formative.assessment	Learning.module.materials..i.e..power.points..handouts.	219	0.5	1.5	-10.5	-9.5	#FFE7DE	0
#FFEBE4	1	-19	Common.formative.assessment	0.103596537878045	Common.formative.assessment	DESE.virtual.learning.platform	220	0.5	1.5	-19.5	-18.5	#FFEBE4	0
#FFCCBB	1	-3	Common.formative.assessment	0.263971168836732	Common.formative.assessment	Review.of.CFA.data	221	0.5	1.5	-3.5	-2.5	#FFCCBB	0
#FAF6FF	1	-27	Common.formative.assessment	-0.0376851742562059	Common.formative.assessment	CWIS	222	0.5	1.5	-27.5	-26.5	#FAF6FF	0
#F9F4FF	1	-23	Common.formative.assessment	-0.0458101618989996	Common.formative.assessment	Distance.Learning	223	0.5	1.5	-23.5	-22.5	#F9F4FF	0
#EFE3FF	1	-19	Common.formative.assessment	-0.116758362913233	Common.formative.assessment	Virtual.Learning.Modules.and.or.PowerPoints	224	0.5	1.5	-19.5	-18.5	#EFE3FF	0
#FCF9FF	1	-26	Common.formative.assessment	-0.0232553467801637	Common.formative.assessment	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	225	0.5	1.5	-26.5	-25.5	#FCF9FF	0
#FFF2EE	1	-17	Common.formative.assessment	0.0656466405548126	Common.formative.assessment	Interaction.Type_Virtual	226	0.5	1.5	-17.5	-16.5	#FFF2EE	0
#FFECE6	1	-22	Common.formative.assessment	0.0976674962154714	Common.formative.assessment	Interaction.Type_In-person	227	0.5	1.5	-22.5	-21.5	#FFECE6	0
#FFF5F1	1	-18	Common.formative.assessment	0.0535152439191145	Common.formative.assessment	Interaction.Type_In-person and virtual	228	0.5	1.5	-18.5	-17.5	#FFF5F1	0
#FFF4F0	1	-16	Common.formative.assessment	0.0575871346764884	Common.formative.assessment	Interaction.Type_Phone	229	0.5	1.5	-16.5	-15.5	#FFF4F0	0
#FFF5F2	1	-10	Common.formative.assessment	0.0509997941448018	Common.formative.assessment	Interaction.Type_Unknown	230	0.5	1.5	-10.5	-9.5	#FFF5F2	0
#E8D7FF	1	-5	Common.formative.assessment	-0.169536249593938	Common.formative.assessment	ETLP_avg	231	0.5	1.5	-5.5	-4.5	#E8D7FF	0
#FFC8B6	1	-5	DESE.virtual.learning.platform	0.285203561067791	DESE.virtual.learning.platform	District.Leadership.Team.Members	298	0.5	1.5	-5.5	-4.5	#FFC8B6	0
#FFBAA3	1	-3	DESE.virtual.learning.platform	0.359370971433821	DESE.virtual.learning.platform	District.Contact.Person	299	0.5	1.5	-3.5	-2.5	#FFBAA3	0
#F9F4FF	1	-23	DESE.virtual.learning.platform	-0.0448113933024974	DESE.virtual.learning.platform	Building.Leadership.Team.Members	300	0.5	1.5	-23.5	-22.5	#F9F4FF	0
#FFF0EB	1	-16	DESE.virtual.learning.platform	0.0779533535762899	DESE.virtual.learning.platform	Other.District.Administrators	301	0.5	1.5	-16.5	-15.5	#FFF0EB	0
#E7D7FF	1	-7	DESE.virtual.learning.platform	-0.172318512877214	DESE.virtual.learning.platform	Other.Building.Administrators	302	0.5	1.5	-7.5	-6.5	#E7D7FF	0
#D8BFFF	1	-8	DESE.virtual.learning.platform	-0.27483870696844	DESE.virtual.learning.platform	Building.level.Educators	303	0.5	1.5	-8.5	-7.5	#D8BFFF	0
#FFDACD	1	-8	DESE.virtual.learning.platform	0.192390671665984	DESE.virtual.learning.platform	RPDC.Director	304	0.5	1.5	-8.5	-7.5	#FFDACD	0
#FFE7DE	1	-7	DESE.virtual.learning.platform	0.126417796876027	DESE.virtual.learning.platform	Area.Supervisor	305	0.5	1.5	-7.5	-6.5	#FFE7DE	0
#FEFEFF	1	-28	DESE.virtual.learning.platform	-0.00387935738194752	DESE.virtual.learning.platform	Parents	306	0.5	1.5	-28.5	-27.5	#FEFEFF	0
#FFDFD3	1	-8	DESE.virtual.learning.platform	0.168827496398207	DESE.virtual.learning.platform	Collaborative.teams	307	0.5	1.5	-8.5	-7.5	#FFDFD3	0
#FFEBE4	1	-12	DESE.virtual.learning.platform	0.103596537878045	DESE.virtual.learning.platform	Common.formative.assessment	308	0.5	1.5	-12.5	-11.5	#FFEBE4	0
#FFE2D7	1	-8	DESE.virtual.learning.platform	0.153622561377718	DESE.virtual.learning.platform	Data.based.decision.making	309	0.5	1.5	-8.5	-7.5	#FFE2D7	0
#F5EDFF	1	-14	DESE.virtual.learning.platform	-0.0763545551970113	DESE.virtual.learning.platform	Effective.teaching.learning.practices	310	0.5	1.5	-14.5	-13.5	#F5EDFF	0
#FFEAE2	1	-13	DESE.virtual.learning.platform	0.109620721103951	DESE.virtual.learning.platform	Instructional.Leadership	311	0.5	1.5	-13.5	-12.5	#FFEAE2	0
#FFEDE6	1	-13	DESE.virtual.learning.platform	0.0966887984313428	DESE.virtual.learning.platform	School.based.implementation.coaching	312	0.5	1.5	-13.5	-12.5	#FFEDE6	0
#FFF7F4	1	-21	DESE.virtual.learning.platform	0.0424954882759532	DESE.virtual.learning.platform	Collective.teacher.efficacy	313	0.5	1.5	-21.5	-20.5	#FFF7F4	0
#FF8767	1	-2	DESE.virtual.learning.platform	0.610350113675494	DESE.virtual.learning.platform	MMD.DCI.expectations.logistics.DESE.specifics	314	0.5	1.5	-2.5	-1.5	#FF8767	0
#FFCCBB	1	-8	DESE.virtual.learning.platform	0.26429247067276	DESE.virtual.learning.platform	Alignment.and.systems.planning	315	0.5	1.5	-8.5	-7.5	#FFCCBB	0
#FFCFBE	1	-4	DESE.virtual.learning.platform	0.251829121657273	DESE.virtual.learning.platform	Practice.profiles	316	0.5	1.5	-4.5	-3.5	#FFCFBE	0
#FF8C6D	1	-2	DESE.virtual.learning.platform	0.586978022773952	DESE.virtual.learning.platform	Self.assessment.practice.profile..SAPP.	317	0.5	1.5	-2.5	-1.5	#FF8C6D	0
#FFC9B7	1	-4	DESE.virtual.learning.platform	0.280735297470734	DESE.virtual.learning.platform	Learning.module.materials..i.e..power.points..handouts.	318	0.5	1.5	-4.5	-3.5	#FFC9B7	0
#FF0000	1	-1	DESE.virtual.learning.platform	1	DESE.virtual.learning.platform	DESE.virtual.learning.platform	319	0.5	1.5	-1.5	-0.5	#FF0000	0
#FFF8F5	1	-19	DESE.virtual.learning.platform	0.0387309693337526	DESE.virtual.learning.platform	Review.of.CFA.data	320	0.5	1.5	-19.5	-18.5	#FFF8F5	0
#FFAE95	1	-3	DESE.virtual.learning.platform	0.419931987692063	DESE.virtual.learning.platform	CWIS	321	0.5	1.5	-3.5	-2.5	#FFAE95	0
#FFF2ED	1	-15	DESE.virtual.learning.platform	0.0705413609331256	DESE.virtual.learning.platform	Distance.Learning	322	0.5	1.5	-15.5	-14.5	#FFF2ED	0
#FFD7CA	1	-5	DESE.virtual.learning.platform	0.206993655774065	DESE.virtual.learning.platform	Virtual.Learning.Modules.and.or.PowerPoints	323	0.5	1.5	-5.5	-4.5	#FFD7CA	0
#FEFCFF	1	-29	DESE.virtual.learning.platform	-0.0112646684726068	DESE.virtual.learning.platform	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	324	0.5	1.5	-29.5	-28.5	#FEFCFF	0
#F5EDFF	1	-14	DESE.virtual.learning.platform	-0.0765462141363915	DESE.virtual.learning.platform	Interaction.Type_Virtual	325	0.5	1.5	-14.5	-13.5	#F5EDFF	0
#D0B3FF	1	-3	DESE.virtual.learning.platform	-0.327666380481335	DESE.virtual.learning.platform	Interaction.Type_In-person	326	0.5	1.5	-3.5	-2.5	#D0B3FF	0
#F3EAFF	1	-9	DESE.virtual.learning.platform	-0.0907917188027949	DESE.virtual.learning.platform	Interaction.Type_In-person and virtual	327	0.5	1.5	-9.5	-8.5	#F3EAFF	0
#ECDDFF	1	-8	DESE.virtual.learning.platform	-0.143234986393072	DESE.virtual.learning.platform	Interaction.Type_Phone	328	0.5	1.5	-8.5	-7.5	#ECDDFF	0
#F5EDFF	1	-5	DESE.virtual.learning.platform	-0.0760262160369044	DESE.virtual.learning.platform	Interaction.Type_Unknown	329	0.5	1.5	-5.5	-4.5	#F5EDFF	0
#F7F1FF	1	-18	DESE.virtual.learning.platform	-0.0603950474146846	DESE.virtual.learning.platform	ETLP_avg	330	0.5	1.5	-18.5	-17.5	#F7F1FF	0
#FFF1EC	1	-22	Data.based.decision.making	0.0724677975296329	Data.based.decision.making	District.Leadership.Team.Members	265	0.5	1.5	-22.5	-21.5	#FFF1EC	0
#FFF8F5	1	-27	Data.based.decision.making	0.0370900355375174	Data.based.decision.making	District.Contact.Person	266	0.5	1.5	-27.5	-26.5	#FFF8F5	0
#FFE0D4	1	-10	Data.based.decision.making	0.164367830673061	Data.based.decision.making	Building.Leadership.Team.Members	267	0.5	1.5	-10.5	-9.5	#FFE0D4	0
#FFF9F7	1	-26	Data.based.decision.making	0.0302128505829212	Data.based.decision.making	Other.District.Administrators	268	0.5	1.5	-26.5	-25.5	#FFF9F7	0
#FFEFE8	1	-17	Data.based.decision.making	0.086374948368235	Data.based.decision.making	Other.Building.Administrators	269	0.5	1.5	-17.5	-16.5	#FFEFE8	0
#F1E7FF	1	-19	Data.based.decision.making	-0.102651228859963	Data.based.decision.making	Building.level.Educators	270	0.5	1.5	-19.5	-18.5	#F1E7FF	0
#FCFAFF	1	-23	Data.based.decision.making	-0.0198289598912718	Data.based.decision.making	RPDC.Director	271	0.5	1.5	-23.5	-22.5	#FCFAFF	0
#FFF9F7	1	-25	Data.based.decision.making	0.0293282255189267	Data.based.decision.making	Area.Supervisor	272	0.5	1.5	-25.5	-24.5	#FFF9F7	0
#FAF7FF	1	-11	Data.based.decision.making	-0.0345629363664592	Data.based.decision.making	Parents	273	0.5	1.5	-11.5	-10.5	#FAF7FF	0
#FFBBA5	1	-3	Data.based.decision.making	0.354080219286615	Data.based.decision.making	Collaborative.teams	274	0.5	1.5	-3.5	-2.5	#FFBBA5	0
#FFCAB7	1	-3	Data.based.decision.making	0.279137230700131	Data.based.decision.making	Common.formative.assessment	275	0.5	1.5	-3.5	-2.5	#FFCAB7	0
#FF0000	1	-1	Data.based.decision.making	1	Data.based.decision.making	Data.based.decision.making	276	0.5	1.5	-1.5	-0.5	#FF0000	0
#F4EBFF	1	-13	Data.based.decision.making	-0.0850103970779809	Data.based.decision.making	Effective.teaching.learning.practices	277	0.5	1.5	-13.5	-12.5	#F4EBFF	0
#FFC4B0	1	-2	Data.based.decision.making	0.30710194949212	Data.based.decision.making	Instructional.Leadership	278	0.5	1.5	-2.5	-1.5	#FFC4B0	0
#FFEFEA	1	-15	Data.based.decision.making	0.0818463991920621	Data.based.decision.making	School.based.implementation.coaching	279	0.5	1.5	-15.5	-14.5	#FFEFEA	0
#FFE2D8	1	-5	Data.based.decision.making	0.152082986808709	Data.based.decision.making	Collective.teacher.efficacy	280	0.5	1.5	-5.5	-4.5	#FFE2D8	0
#FFFCFA	1	-30	Data.based.decision.making	0.0175890433842311	Data.based.decision.making	MMD.DCI.expectations.logistics.DESE.specifics	281	0.5	1.5	-30.5	-29.5	#FFFCFA	0
#FFEAE2	1	-15	Data.based.decision.making	0.111883170062285	Data.based.decision.making	Alignment.and.systems.planning	282	0.5	1.5	-15.5	-14.5	#FFEAE2	0
#FFE9E2	1	-12	Data.based.decision.making	0.1133283904368	Data.based.decision.making	Practice.profiles	283	0.5	1.5	-12.5	-11.5	#FFE9E2	0
#FFD9CC	1	-12	Data.based.decision.making	0.198050596963412	Data.based.decision.making	Self.assessment.practice.profile..SAPP.	284	0.5	1.5	-12.5	-11.5	#FFD9CC	0
#FFF9F7	1	-26	Data.based.decision.making	0.0322567415796808	Data.based.decision.making	Learning.module.materials..i.e..power.points..handouts.	285	0.5	1.5	-26.5	-25.5	#FFF9F7	0
#FFE2D7	1	-15	Data.based.decision.making	0.153622561377718	Data.based.decision.making	DESE.virtual.learning.platform	286	0.5	1.5	-15.5	-14.5	#FFE2D7	0
#FFC3AF	1	-2	Data.based.decision.making	0.313419082548375	Data.based.decision.making	Review.of.CFA.data	287	0.5	1.5	-2.5	-1.5	#FFC3AF	0
#FFF1EC	1	-22	Data.based.decision.making	0.0745385983924745	Data.based.decision.making	CWIS	288	0.5	1.5	-22.5	-21.5	#FFF1EC	0
#F2E8FF	1	-7	Data.based.decision.making	-0.0985738264402561	Data.based.decision.making	Distance.Learning	289	0.5	1.5	-7.5	-6.5	#F2E8FF	0
#ECDDFF	1	-11	Data.based.decision.making	-0.142816194361652	Data.based.decision.making	Virtual.Learning.Modules.and.or.PowerPoints	290	0.5	1.5	-11.5	-10.5	#ECDDFF	0
