group	fill	y	ymin	ymax	colour
1	#FFE2D8	11	10.5	11.5	#FFE2D8
2	#FFFFFF	30	29.5	30.5	#FFFFFF
3	#FFB8A1	2	1.5	2.5	#FFB8A1
4	#FFDACC	8	7.5	8.5	#FFDACC
5	#FFD9CC	7	6.5	7.5	#FFD9CC
6	#FFEAE2	15	14.5	15.5	#FFEAE2
7	#FCFAFF	25	24.5	25.5	#FCFAFF
8	#FEFDFF	29	28.5	29.5	#FEFDFF
9	#FFDDD1	10	9.5	10.5	#FFDDD1
10	#FFF1EC	18	17.5	18.5	#FFF1EC
11	#FBF7FF	22	21.5	22.5	#FBF7FF
12	#FFCFBE	4	3.5	4.5	#FFCFBE
13	#FF0000	1	0.5	1.5	#FF0000
14	#FFD7C8	5	4.5	5.5	#FFD7C8
15	#FFFDFD	28	27.5	28.5	#FFFDFD
16	#E3D0FF	6	5.5	6.5	#E3D0FF
17	#FAF7FF	21	20.5	21.5	#FAF7FF
18	#EDDFFF	13	12.5	13.5	#EDDFFF
19	#FFF7F4	20	19.5	20.5	#FFF7F4
20	#FFE9E0	14	13.5	14.5	#FFE9E0
21	#FFF0EA	17	16.5	17.5	#FFF0EA
22	#FFF3EF	19	18.5	19.5	#FFF3EF
23	#FFE5DB	12	11.5	12.5	#FFE5DB
24	#FCFAFF	26	25.5	26.5	#FCFAFF
25	#FFDACD	9	8.5	9.5	#FFDACD
26	#FFFCFA	27	26.5	27.5	#FFFCFA
27	#FFF9F7	23	22.5	23.5	#FFF9F7
28	#FFECE5	16	15.5	16.5	#FFECE5
29	#FFC4B0	3	2.5	3.5	#FFC4B0
30	#FBF8FF	24	23.5	24.5	#FBF8FF
