group	fill	y	ymin	ymax	colour
1	#FFD1C1	3	2.5	3.5	#FFD1C1
2	#FFE9E1	9	8.5	9.5	#FFE9E1
3	#FFFCFB	25	24.5	25.5	#FFFCFB
4	#E6D4FF	6	5.5	6.5	#E6D4FF
5	#FFE0D5	8	7.5	8.5	#FFE0D5
6	#FFF9F7	23	22.5	23.5	#FFF9F7
7	#F9F4FF	19	18.5	19.5	#F9F4FF
8	#F8F3FF	16	15.5	16.5	#F8F3FF
9	#FFDED2	7	6.5	7.5	#FFDED2
10	#FEFCFF	26	25.5	26.5	#FEFCFF
11	#F9F4FF	20	19.5	20.5	#F9F4FF
12	#FFFEFE	28	27.5	28.5	#FFFEFE
13	#FFFCFA	24	23.5	24.5	#FFFCFA
14	#F8F3FF	18	17.5	18.5	#F8F3FF
15	#FFEDE6	11	10.5	11.5	#FFEDE6
16	#FFFEFD	27	26.5	27.5	#FFFEFD
17	#FFDACD	5	4.5	5.5	#FFDACD
18	#F5EEFF	13	12.5	13.5	#F5EEFF
19	#FFEFE9	12	11.5	12.5	#FFEFE9
20	#FFF8F6	21	20.5	21.5	#FFF8F6
21	#FFD9CC	4	3.5	4.5	#FFD9CC
22	#FBF7FF	22	21.5	22.5	#FBF7FF
23	#FFCDBC	2	1.5	2.5	#FFCDBC
24	#FFEBE4	10	9.5	10.5	#FFEBE4
25	#FFF5F2	17	16.5	17.5	#FFF5F2
26	#FF0000	1	0.5	1.5	#FF0000
27	#F7F0FF	14	13.5	14.5	#F7F0FF
28	#FFFFFF	29	28.5	29.5	#FFFFFF
29	#FFFFFF	30	29.5	30.5	#FFFFFF
30	#F7F1FF	15	14.5	15.5	#F7F1FF
