group	fill	y	tooltip	ymin	ymax	colour
1	#FDFCFF	-29	-0.012687030171335	-29.5	-28.5	#FDFCFF
2	#FCF9FF	-26	-0.0248159691631905	-26.5	-25.5	#FCF9FF
3	#FFEDE6	-12	0.0966121872739464	-12.5	-11.5	#FFEDE6
4	#FFE1D6	-6	0.157341926840337	-6.5	-5.5	#FFE1D6
5	#FAF6FF	-25	-0.0376851742562059	-25.5	-24.5	#FAF6FF
6	#FFB69F	-2	0.37750568059496	-2.5	-1.5	#FFB69F
7	#FFF5F1	-20	0.0534831894158356	-20.5	-19.5	#FFF5F1
8	#FF0000	-1	1	-1.5	-0.5	#FF0000
9	#FFEBE4	-11	0.103596537878045	-11.5	-10.5	#FFEBE4
10	#FFCAB7	-3	0.279137230700131	-3.5	-2.5	#FFCAB7
11	#F9F4FF	-23	-0.0458101618989996	-23.5	-22.5	#F9F4FF
12	#EEE1FF	-8	-0.129217036033065	-8.5	-7.5	#EEE1FF
13	#F5EDFF	-14	-0.0750395576750787	-14.5	-13.5	#F5EDFF
14	#F7F1FF	-18	-0.0594161213891933	-18.5	-17.5	#F7F1FF
15	#FFE6DD	-7	0.13081933721033	-7.5	-6.5	#FFE6DD
16	#FFF4F0	-19	0.0575871346764884	-19.5	-18.5	#FFF4F0
17	#FFF5F2	-21	0.0509997941448018	-21.5	-20.5	#FFF5F2
18	#FFF2EE	-16	0.0656466405548126	-16.5	-15.5	#FFF2EE
19	#FCF9FF	-27	-0.0232553467801637	-27.5	-26.5	#FCF9FF
20	#FFE7DE	-9	0.128057924265174	-9.5	-8.5	#FFE7DE
21	#FCFAFF	-28	-0.0226152302030656	-28.5	-27.5	#FCFAFF
22	#FFDACD	-5	0.193981096458159	-5.5	-4.5	#FFDACD
23	#FEFDFF	-30	-0.0100905471186578	-30.5	-29.5	#FEFDFF
24	#F5EEFF	-15	-0.0735574727664989	-15.5	-14.5	#F5EEFF
25	#FFF1EB	-13	0.0756457337370179	-13.5	-12.5	#FFF1EB
26	#F9F4FF	-22	-0.0467015480671362	-22.5	-21.5	#F9F4FF
27	#FFCCBB	-4	0.263971168836732	-4.5	-3.5	#FFCCBB
28	#FFF7F4	-24	0.0411467234462862	-24.5	-23.5	#FFF7F4
29	#FFF3EE	-17	0.0632893028113712	-17.5	-16.5	#FFF3EE
30	#EFE3FF	-10	-0.116758362913233	-10.5	-9.5	#EFE3FF
