x	y	label	clickSelects	showSelected1	group
2	1.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	District.Leadership.Team.Members	65
2	13.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	District.Contact.Person	66
2	0.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Building.Leadership.Team.Members	67
2	8.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Other.District.Administrators	68
2	2.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Other.Building.Administrators	69
2	1.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Building.level.Educators	70
2	24.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	RPDC.Director	71
2	21.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Area.Supervisor	72
2	23.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Parents	73
2	3.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Collaborative.teams	74
2	10.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Common.formative.assessment	75
2	3.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Data.based.decision.making	76
2	1.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Effective.teaching.learning.practices	77
2	27.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Instructional.Leadership	78
2	8.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	School.based.implementation.coaching	79
2	22.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Collective.teacher.efficacy	80
2	11.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	MMD.DCI.expectations.logistics.DESE.specifics	81
2	23.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Alignment.and.systems.planning	82
2	9.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Practice.profiles	83
2	18.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Self.assessment.practice.profile..SAPP.	84
2	14.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Learning.module.materials..i.e..power.points..handouts.	85
2	26.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	DESE.virtual.learning.platform	86
2	2.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Review.of.CFA.data	87
2	12.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	CWIS	88
2	16.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Distance.Learning	89
2	5.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Virtual.Learning.Modules.and.or.PowerPoints	90
2	13.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	91
2	14.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Interaction.Type_Virtual	92
2	3.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Interaction.Type_In-person	93
2	20.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Interaction.Type_In-person and virtual	94
2	20.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Interaction.Type_Phone	95
2	12.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Interaction.Type_Unknown	96
2	7.7	Building.level.Educators	Building.level.Educators	District.Leadership.Team.Members	97
2	9.7	Building.level.Educators	Building.level.Educators	District.Contact.Person	98
2	1.7	Building.level.Educators	Building.level.Educators	Building.Leadership.Team.Members	99
2	26.7	Building.level.Educators	Building.level.Educators	Other.District.Administrators	100
2	1.7	Building.level.Educators	Building.level.Educators	Other.Building.Administrators	101
2	0.7	Building.level.Educators	Building.level.Educators	Building.level.Educators	102
2	5.7	Building.level.Educators	Building.level.Educators	RPDC.Director	103
2	20.7	Building.level.Educators	Building.level.Educators	Area.Supervisor	104
2	9.7	Building.level.Educators	Building.level.Educators	Parents	105
2	26.7	Building.level.Educators	Building.level.Educators	Collaborative.teams	106
2	4.7	Building.level.Educators	Building.level.Educators	Common.formative.assessment	107
2	21.7	Building.level.Educators	Building.level.Educators	Data.based.decision.making	108
2	2.7	Building.level.Educators	Building.level.Educators	Effective.teaching.learning.practices	109
2	6.7	Building.level.Educators	Building.level.Educators	Instructional.Leadership	110
2	20.7	Building.level.Educators	Building.level.Educators	School.based.implementation.coaching	111
2	14.7	Building.level.Educators	Building.level.Educators	Collective.teacher.efficacy	112
2	4.7	Building.level.Educators	Building.level.Educators	MMD.DCI.expectations.logistics.DESE.specifics	113
2	14.7	Building.level.Educators	Building.level.Educators	Alignment.and.systems.planning	114
2	16.7	Building.level.Educators	Building.level.Educators	Practice.profiles	115
2	14.7	Building.level.Educators	Building.level.Educators	Self.assessment.practice.profile..SAPP.	116
2	5.7	Building.level.Educators	Building.level.Educators	Learning.module.materials..i.e..power.points..handouts.	117
2	12.7	Building.level.Educators	Building.level.Educators	DESE.virtual.learning.platform	118
2	3.7	Building.level.Educators	Building.level.Educators	Review.of.CFA.data	119
2	4.7	Building.level.Educators	Building.level.Educators	CWIS	120
2	14.7	Building.level.Educators	Building.level.Educators	Distance.Learning	121
2	10.7	Building.level.Educators	Building.level.Educators	Virtual.Learning.Modules.and.or.PowerPoints	122
2	6.7	Building.level.Educators	Building.level.Educators	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	123
2	12.7	Building.level.Educators	Building.level.Educators	Interaction.Type_Virtual	124
2	2.7	Building.level.Educators	Building.level.Educators	Interaction.Type_In-person	125
2	13.7	Building.level.Educators	Building.level.Educators	Interaction.Type_In-person and virtual	126
2	11.7	Building.level.Educators	Building.level.Educators	Interaction.Type_Phone	127
2	13.7	Building.level.Educators	Building.level.Educators	Interaction.Type_Unknown	128
2	6.7	CWIS	CWIS	District.Leadership.Team.Members	225
2	1.7	CWIS	CWIS	District.Contact.Person	226
2	13.7	CWIS	CWIS	Building.Leadership.Team.Members	227
2	13.7	CWIS	CWIS	Other.District.Administrators	228
2	12.7	CWIS	CWIS	Other.Building.Administrators	229
2	4.7	CWIS	CWIS	Building.level.Educators	230
2	7.7	CWIS	CWIS	RPDC.Director	231
2	3.7	CWIS	CWIS	Area.Supervisor	232
2	26.7	CWIS	CWIS	Parents	233
2	19.7	CWIS	CWIS	Collaborative.teams	234
2	12.7	CWIS	CWIS	Common.formative.assessment	235
2	29.7	CWIS	CWIS	Data.based.decision.making	236
2	9.7	CWIS	CWIS	Effective.teaching.learning.practices	237
2	15.7	CWIS	CWIS	Instructional.Leadership	238
2	18.7	CWIS	CWIS	School.based.implementation.coaching	239
2	15.7	CWIS	CWIS	Collective.teacher.efficacy	240
2	1.7	CWIS	CWIS	MMD.DCI.expectations.logistics.DESE.specifics	241
2	3.7	CWIS	CWIS	Alignment.and.systems.planning	242
2	6.7	CWIS	CWIS	Practice.profiles	243
2	1.7	CWIS	CWIS	Self.assessment.practice.profile..SAPP.	244
2	23.7	CWIS	CWIS	Learning.module.materials..i.e..power.points..handouts.	245
2	3.7	CWIS	CWIS	DESE.virtual.learning.platform	246
2	14.7	CWIS	CWIS	Review.of.CFA.data	247
2	0.7	CWIS	CWIS	CWIS	248
2	24.7	CWIS	CWIS	Distance.Learning	249
2	16.7	CWIS	CWIS	Virtual.Learning.Modules.and.or.PowerPoints	250
2	26.7	CWIS	CWIS	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	251
2	3.7	CWIS	CWIS	Interaction.Type_Virtual	252
2	1.7	CWIS	CWIS	Interaction.Type_In-person	253
2	4.7	CWIS	CWIS	Interaction.Type_In-person and virtual	254
2	2.7	CWIS	CWIS	Interaction.Type_Phone	255
2	8.7	CWIS	CWIS	Interaction.Type_Unknown	256
2	14.7	Collaborative.teams	Collaborative.teams	District.Leadership.Team.Members	129
