group	fill	y	tooltip	ymin	ymax	colour
1	#F1E7FF	-11	-0.103276035504157	-11.5	-10.5	#F1E7FF
2	#FAF6FF	-23	-0.0365452998232434	-23.5	-22.5	#FAF6FF
3	#FFFEFE	-29	0.00503041856553241	-29.5	-28.5	#FFFEFE
4	#F8F3FF	-21	-0.0513763323187332	-21.5	-20.5	#F8F3FF
5	#E9D9FF	-4	-0.160749140809794	-4.5	-3.5	#E9D9FF
6	#FBF9FF	-25	-0.0273190408144202	-25.5	-24.5	#FBF9FF
7	#F8F2FF	-19	-0.0532399977252433	-19.5	-18.5	#F8F2FF
8	#FFF2EE	-16	0.0656466405548126	-16.5	-15.5	#FFF2EE
9	#F5EDFF	-13	-0.0765462141363915	-13.5	-12.5	#F5EDFF
10	#FFFCFB	-27	0.0149888252718107	-27.5	-26.5	#FFFCFB
11	#FFEFE9	-12	0.0828111907259866	-12.5	-11.5	#FFEFE9
12	#E7D7FF	-3	-0.172300896883521	-3.5	-2.5	#E7D7FF
13	#EADBFF	-5	-0.15225498665035	-5.5	-4.5	#EADBFF
14	#FFF2ED	-15	0.0700045236715253	-15.5	-14.5	#FFF2ED
15	#FFFEFF	-30	-0.00354017592515732	-30.5	-29.5	#FFFEFF
16	#FFD8CA	-2	0.205878569680702	-2.5	-1.5	#FFD8CA
17	#FEFDFF	-28	-0.00725890545971078	-28.5	-27.5	#FEFDFF
18	#FF0000	-1	1	-1.5	-0.5	#FF0000
19	#FFE8DF	-8	0.121310517661426	-8.5	-7.5	#FFE8DF
20	#F5EDFF	-14	-0.0741889903098984	-14.5	-13.5	#F5EDFF
21	#EFE4FF	-9	-0.116006938752566	-9.5	-8.5	#EFE4FF
22	#FAF7FF	-24	-0.0344781770563908	-24.5	-23.5	#FAF7FF
23	#EEE1FF	-6	-0.125262518277609	-6.5	-5.5	#EEE1FF
24	#FFFCFB	-26	0.0162964502317044	-26.5	-25.5	#FFFCFB
25	#F8F3FF	-20	-0.0524099343815336	-20.5	-19.5	#F8F3FF
26	#F7F1FF	-17	-0.0602292177354874	-17.5	-16.5	#F7F1FF
27	#FAF6FF	-22	-0.0373142581662937	-22.5	-21.5	#FAF6FF
28	#F8F2FF	-18	-0.0541690521361182	-18.5	-17.5	#F8F2FF
29	#F1E6FF	-10	-0.105316589105379	-10.5	-9.5	#F1E6FF
30	#FFE8DF	-7	0.121313798124445	-7.5	-6.5	#FFE8DF
