group	fill	y	ymin	ymax	colour
1	#FFC0AB	7	6.5	7.5	#FFC0AB
2	#FFEAE2	19	18.5	19.5	#FFEAE2
3	#E9D9FF	12	11.5	12.5	#E9D9FF
4	#C8A7FF	5	4.5	5.5	#C8A7FF
5	#FF9A7C	2	1.5	2.5	#FF9A7C
6	#FCF9FF	27	26.5	27.5	#FCF9FF
7	#FFDCD0	10	9.5	10.5	#FFDCD0
8	#F2E9FF	21	20.5	21.5	#F2E9FF
9	#FFA68B	3	2.5	3.5	#FFA68B
10	#FFFEFE	30	29.5	30.5	#FFFEFE
11	#FFE2D8	13	12.5	13.5	#FFE2D8
12	#FFBBA5	6	5.5	6.5	#FFBBA5
13	#FFF0EA	24	23.5	24.5	#FFF0EA
14	#EDE0FF	14	13.5	14.5	#EDE0FF
15	#FFEEE7	22	21.5	22.5	#FFEEE7
16	#EDE0FF	15	14.5	15.5	#EDE0FF
17	#FDFCFF	29	28.5	29.5	#FDFCFF
18	#E9D9FF	11	10.5	11.5	#E9D9FF
19	#FFF5F2	25	24.5	25.5	#FFF5F2
20	#FFF6F3	26	25.5	26.5	#FFF6F3
21	#FF0000	1	0.5	1.5	#FF0000
22	#E4D1FF	9	8.5	9.5	#E4D1FF
23	#FFEAE3	20	19.5	20.5	#FFEAE3
24	#FFFCFA	28	27.5	28.5	#FFFCFA
25	#FFE7DE	17	16.5	17.5	#FFE7DE
26	#FFD9CC	8	7.5	8.5	#FFD9CC
27	#F4EBFF	23	22.5	23.5	#F4EBFF
28	#FFE7DE	16	15.5	16.5	#FFE7DE
29	#FFAA90	4	3.5	4.5	#FFAA90
30	#FFE9E1	18	17.5	18.5	#FFE9E1
