x	xend	y	yend	clickSelects	PANEL
-0.0995225485794637	0.0761421822014128	1	1	Collective.teacher.efficacy	1
-0.0995225485794637	0.0761421822014128	2	2	DESE.virtual.learning.platform	1
-0.0995225485794637	0.0761421822014128	3	3	Interaction.Type_Virtual	1
-0.0995225485794637	0.0761421822014128	4	4	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	1
-0.0995225485794637	0.0761421822014128	5	5	Learning.module.materials..i.e..power.points..handouts.	1
-0.0995225485794637	0.0761421822014128	6	6	Parents	1
-0.0995225485794637	0.0761421822014128	7	7	RPDC.Director	1
-0.0995225485794637	0.0761421822014128	8	8	Self.assessment.practice.profile..SAPP.	1
-0.0995225485794637	0.0761421822014128	1	1	Data.based.decision.making	2
-0.0995225485794637	0.0761421822014128	2	2	Distance.Learning	2
-0.0995225485794637	0.0761421822014128	3	3	Instructional.Leadership	2
-0.0995225485794637	0.0761421822014128	4	4	Other.Building.Administrators	2
-0.0995225485794637	0.0761421822014128	5	5	Review.of.CFA.data	2
-0.0995225485794637	0.0761421822014128	1	1	Building.Leadership.Team.Members	3
-0.0995225485794637	0.0761421822014128	2	2	Other.District.Administrators	3
-0.0995225485794637	0.0761421822014128	3	3	Virtual.Learning.Modules.and.or.PowerPoints	3
-0.0995225485794637	0.0761421822014128	1	1	Building.level.Educators	4
-0.0995225485794637	0.0761421822014128	2	2	Interaction.Type_Phone	4
-0.0995225485794637	0.0761421822014128	3	3	MMD.DCI.expectations.logistics.DESE.specifics	4
-0.0995225485794637	0.0761421822014128	1	1	Area.Supervisor	5
-0.0995225485794637	0.0761421822014128	2	2	District.Contact.Person	5
-0.0995225485794637	0.0761421822014128	3	3	District.Leadership.Team.Members	5
-0.0995225485794637	0.0761421822014128	1	1	Interaction.Type_Unknown	6
-0.0995225485794637	0.0761421822014128	2	2	School.based.implementation.coaching	6
-0.0995225485794637	0.0761421822014128	1	1	Practice.profiles	7
-0.0995225485794637	0.0761421822014128	1	1	Alignment.and.systems.planning	8
-0.0995225485794637	0.0761421822014128	4	4	CWIS	8
-0.0995225485794637	0.0761421822014128	2	2	Collaborative.teams	8
-0.0995225485794637	0.0761421822014128	3	3	Common.formative.assessment	8
-0.0995225485794637	0.0761421822014128	5	5	Effective.teaching.learning.practices	8
